question_id,knowledge_point_id,coverage_weight,status
ml-q05-v3,rl-qlearning,1.0,active
ml-q05-v4,rl-qlearning,1.0,active
ml-q06-v2,rl-qlearning,1.0,active
ml-q06-v3,rl-qlearning,1.0,active
ml-q06-v4,rl-qlearning,1.0,active
dl-q01-v2,dl-neuron,1.0,active
dl-q01-v3,dl-neuron,1.0,active
dl-q01-v4,dl-neuron,1.0,active
dl-q02-v2,dl-activation,1.0,active
dl-q02-v3,dl-activation,1.0,active
dl-q02-v4,dl-activation,1.0,active
dl-q03-v2,dl-forward,1.0,active
dl-q03-v2,dl-loss,0.5,active
dl-q03-v3,dl-forward,1.0,active
dl-q03-v3,dl-loss,0.5,active
dl-q03-v4,dl-forward,1.0,active
dl-q03-v4,dl-loss,0.5,active
dl-q03-v5,dl-forward,1.0,active
dl-q03-v5,dl-loss,0.5,active
dl-q04-v2,dl-backprop,1.0,active
dl-q04-v3,dl-backprop,1.0,active
dl-q04-v4,dl-backprop,1.0,active
dl-q05-v2,dl-training,1.0,active
dl-q05-v3,dl-training,1.0,active
dl-q05-v4,dl-training,1.0,active
dl-q06-v2,dl-training,1.0,active
dl-q06-v3,dl-training,1.0,active
dl-q06-v4,dl-training,1.0,active
ml-q07-v2,ml-learning-task,1.0,active
ml-q07-v3,ml-learning-task,1.0,active
ml-q07-v4,ml-learning-task,1.0,active
ml-q07-v5,ml-learning-task,1.0,active
ml-q08-v2,ml-learning-paradigm,1.0,active
ml-q08-v3,ml-learning-paradigm,1.0,active
ml-q08-v4,ml-learning-paradigm,1.0,active
ml-q09-v2,ml-regression,1.0,active
ml-q09-v3,ml-regression,1.0,active
ml-q09-v4,ml-regression,1.0,active
ml-q10-v2,ml-linear-regression,1.0,active
ml-q10-v3,ml-linear-regression,1.0,active
ml-q10-v4,ml-linear-regression,1.0,active
ml-q11-v2,ml-logistic-regression,1.0,active
ml-q11-v3,ml-logistic-regression,1.0,active
ml-q11-v4,ml-logistic-regression,1.0,active
ml-q12-v2,ml-loss-function,1.0,active
ml-q12-v3,ml-loss-function,1.0,active
ml-q12-v4,ml-loss-function,1.0,active
ml-q13-v2,ml-gradient-descent,1.0,active
ml-q13-v3,ml-gradient-descent,1.0,active
ml-q13-v4,ml-gradient-descent,1.0,active
ml-q14-v2,ml-classification,1.0,active
ml-q14-v3,ml-classification,1.0,active
ml-q14-v4,ml-classification,1.0,active
ml-q15-v2,ml-clustering,1.0,active
ml-q15-v3,ml-clustering,1.0,active
ml-q15-v4,ml-clustering,1.0,active
ml-q16-v2,ml-ensemble,1.0,active
ml-q16-v3,ml-ensemble,1.0,active
ml-q16-v4,ml-ensemble,1.0,active
ml-q17-v2,ml-model-selection,1.0,active
ml-q17-v3,ml-model-selection,1.0,active
ml-q17-v4,ml-model-selection,1.0,active
dl-q07-v2,dl-linear-algebra,1.0,active
dl-q07-v3,dl-linear-algebra,1.0,active
dl-q07-v4,dl-linear-algebra,1.0,active
dl-q08-v2,dl-probability,1.0,active
dl-q08-v3,dl-probability,1.0,active
dl-q08-v4,dl-probability,1.0,active
dl-q09-v2,dl-linear-regression,1.0,active
dl-q09-v3,dl-linear-regression,1.0,active
dl-q09-v4,dl-linear-regression,1.0,active
dl-q10-v2,dl-softmax,1.0,active
dl-q10-v3,dl-softmax,1.0,active
dl-q10-v4,dl-softmax,1.0,active
dl-q11-v2,dl-mlp,1.0,active
dl-q11-v3,dl-mlp,1.0,active
dl-q11-v4,dl-mlp,1.0,active
dl-q12-v2,dl-generalization,1.0,active
dl-q12-v3,dl-generalization,1.0,active
dl-q12-v4,dl-generalization,1.0,active
dl-q13-v2,dl-initialization,1.0,active
dl-q13-v3,dl-initialization,1.0,active
dl-q13-v4,dl-initialization,1.0,active
dl-q14-v2,dl-convolution,1.0,active
dl-q14-v3,dl-convolution,1.0,active
dl-q14-v4,dl-convolution,1.0,active
dl-q15-v2,dl-padding-stride,1.0,active
dl-q15-v3,dl-padding-stride,1.0,active
dl-q15-v4,dl-padding-stride,1.0,active
dl-q16-v2,dl-pooling,1.0,active
dl-q16-v3,dl-pooling,1.0,active
dl-q16-v4,dl-pooling,1.0,active
dl-q17-v2,dl-sequence,1.0,active
dl-q17-v3,dl-sequence,1.0,active
dl-q17-v4,dl-sequence,1.0,active
dl-q18-v2,dl-rnn,1.0,active
dl-q18-v3,dl-rnn,1.0,active
dl-q18-v4,dl-rnn,1.0,active
