learning_item_id,learning_item_version_id,source_id,source_file_path,source_item_key,source_commit,source_content_hash,question_stem,answer_text,correct_option_key,knowledge_point_id,knowledge_point_name,mapping_candidate_id,mapping_confidence,mapping_method,mapping_review_status,answer_review_status,source_review_status,publish_decision,reviewer_id,reviewer_note
item-5f96c95137f04aa36c7f,item-version-a48b21a29ef04105ed1c,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-17,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,Fairlearn is a package that can,compare multiple models by using fairness and performance metrics,A,kp-ml-fairness,Fairness and Machine Learning,mapping-candidate-3c330f44236538de7f86,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-c711bac8017976ace0c5,item-version-b704e6727b3438162a28,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-18,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,"When building a model, you should:","prepare your data, then train your model",A,kp-ml-tools,Tools and Techniques,mapping-candidate-e137b49abb790269563b,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-c21c6d75b8167311a3d6,item-version-3ca066d9ac423cc2067c,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-19,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,Your data's ___ will impact the quality of your ML model,both of the above,C,kp-ml-tools,Tools and Techniques,mapping-candidate-0478075a758391d6c1f8,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-b19f822e1567a18f5aa2,item-version-d750096ff8275dacbba4,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-20,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,A feature variable is:,a measurable property of your data,B,kp-ml-tools,Tools and Techniques,mapping-candidate-7fbb0c1762755662ae8a,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-84c0c579d88774f1415a,item-version-00c5b05f988cd0c5b091,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-21,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,You should visualize your data because,both of these,C,kp-ml-tools,Tools and Techniques,mapping-candidate-23dcee88d37fbe8322de,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-e2ea56faddd9431261cd,item-version-afab888235497364f54b,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-22,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,Split your data into:,training and test sets,B,kp-ml-tools,Tools and Techniques,mapping-candidate-12616212fb5049dfdf51,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-18b152203ff2befdbd6c,item-version-4cccbf87cb032637f1c0,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-23,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,A common command to start the training process in various ML libraries is:,model.fit,C,kp-ml-tools,Tools and Techniques,mapping-candidate-502240807855aa106f30,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-3bc83b6056c68f07eadb,item-version-9cb1a60c15d9600d6f56,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-24,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,Which of these variables is a numeric variable?,Height,A,kp-ml-regression-intro,Introduction to Regression,mapping-candidate-723f41a7dc5c5a64beec,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-c0fa0ae76924ca226999,item-version-d50e1cfcbce15ee88ee4,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-25,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,Which of these variables is a categorical variable?,Blood Type,B,kp-ml-regression-intro,Introduction to Regression,mapping-candidate-b1f273f8efbbfc95d3ac,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-eb6b77844f9c010dfd1a,item-version-5d18e777190a3b98f1a5,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-26,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,Which of these problems is a Regression analysis-based problem?,Predicting the final exam marks of a student,A,kp-ml-regression-intro,Introduction to Regression,mapping-candidate-abd3bc974b5150d54761,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-c68fcb2c15c47a804775,item-version-e21a1f609f0d97b4130f,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-27,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,"If your Machine Learning model's training accuracy is 95 % and the testing accuracy is 30 %, then what type of condition it is called?",Overfitting,A,kp-ml-regression-intro,Introduction to Regression,mapping-candidate-331bf94cd39979e54637,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-bffdf9bcdca385464e0f,item-version-8f0ac055cd793d41c44b,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-28,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,The process of identifying significant features from a set of features is called:,Feature Selection,C,kp-ml-regression-intro,Introduction to Regression,mapping-candidate-224eb8d3ee14c99b8678,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-052077d4fe34939b54b4,item-version-ed1cc682690176cdee6b,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-29,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,The process of splitting a dataset into a certain ratio of training and testing dataset using Scikit Learn's 'train_test_split()' method/function is called:,Hold-Out Validation,B,kp-ml-regression-intro,Introduction to Regression,mapping-candidate-88b14ae28ee10dbd0d4f,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-33b512b745631313b2d9,item-version-c1da518758ed08ed336f,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-30,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,Which of these Python modules is used to plot the visualization of data?,Matplotlib,C,kp-ml-regression-data,Prepare and Visualize Data for Regression,mapping-candidate-d36e2537ba1dc6281eb4,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-0577eb1d80e5755cb032,item-version-1879747deb42dd1d7e71,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-31,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,"If you want to understand the spread or the other characteristics of data points of your dataset, then perform:",Data Visualization,A,kp-ml-regression-data,Prepare and Visualize Data for Regression,mapping-candidate-e06681582404b2dde25e,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-e1faeea32d6f3c5223ce,item-version-92df9de00c0175871d6f,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-32,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,Which of these is a part of the Data Visualization step in a Machine Learning project?,Creating a pictorial representation of data using different plotting methods,B,kp-ml-regression-data,Prepare and Visualize Data for Regression,mapping-candidate-b3254180f4d338cb2f6a,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-005e2d6666c7efdc9918,item-version-d8f664340d13a54a9d37,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-33,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,"Which of these code snippets is correct based on this lesson, if you want to check for the presence of missing values in your dataset? Suppose the dataset is stored in a variable named 'dataset' which is a Pandas DataFrame object.",dataset.isnull().sum(),A,kp-ml-regression-data,Prepare and Visualize Data for Regression,mapping-candidate-d71a2c25443cbf7d1556,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-b51473989fefa9ecad30,item-version-c8481f33b9ed039219b9,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-34,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,Which of these plotting methods is useful when you would like to understand the spread of different groups of datapoints from your dataset?,Bar Plot,C,kp-ml-regression-data,Prepare and Visualize Data for Regression,mapping-candidate-580db2560c00ea1d8f29,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-47caf573a1bafba28a4e,item-version-12a5652f3fc85d037e9f,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-35,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,What can Data Visualization NOT tell you?,The source from where the dataset is collected,B,kp-ml-regression-data,Prepare and Visualize Data for Regression,mapping-candidate-aedb594af224b316eaec,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-65c49e2fd7c93e07fcff,item-version-7717d3af747c09a3344f,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-36,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,Matplotlib is a,data visualization library,B,kp-ml-linear-polynomial-regression,Linear and Polynomial Regression,mapping-candidate-e4a372153ba94ac3bbf2,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-81011cfc902ccb20fce2,item-version-57e404f67df1bd13991e,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-37,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,Linear Regression uses the following to plot relationships between variables,a straight line,A,kp-ml-linear-polynomial-regression,Linear and Polynomial Regression,mapping-candidate-bfcef3c5e2382fb284a5,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-5aedc4b3724653498974,item-version-8fbe8092799930acf72c,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-38,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,A good Linear Regression model has a ___ Correlation Coefficient,high,B,kp-ml-linear-polynomial-regression,Linear and Polynomial Regression,mapping-candidate-c20a2161bfdc88404220,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-d345727d141da99cca3d,item-version-90e5aeb788cfb3a85fc0,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-39,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,"If your data is nonlinear, try a ___ type of Regression",polynomial,C,kp-ml-linear-polynomial-regression,Linear and Polynomial Regression,mapping-candidate-09e976436d9ec3f09726,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-837bc1c86c030bf5d94c,item-version-be3110f61e25825bd251,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-40,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,These are all types of Regression methods,"Stepwise, Ridge, Lasso and Elasticnet",B,kp-ml-linear-polynomial-regression,Linear and Polynomial Regression,mapping-candidate-6609a473f93aefc0ac69,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-595f83d3287bdc0eee7f,item-version-e14b669773d026e2d480,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-41,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,Least-Squares Regression means that all the datapoints surrounding the regression line are:,squared and then added up,C,kp-ml-linear-polynomial-regression,Linear and Polynomial Regression,mapping-candidate-4cca902a7251b0f4455e,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-d1e58fc9fbdc1537a96b,item-version-7c9b83634a45be64cb7a,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-42,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,Use Logistic Regression to predict,whether an apple is ripe or not,A,kp-ml-logistic-regression,Logistic Regression,mapping-candidate-f757a671793fb792f0cb,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-10240d13729b1c88c1af,item-version-e5601941bd3fdf11a3ed,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-43,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,Types of Logistic Regression include,multinomial and ordinal,B,kp-ml-logistic-regression,Logistic Regression,mapping-candidate-075e1ffc42bd97825354,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-f293fce96d5e7d194407,item-version-6cd8d353a357569fcedd,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-44,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,Your data has weak correlations. The best type of Regression to use is:,Logistic,A,kp-ml-logistic-regression,Logistic Regression,mapping-candidate-bec06abf1343873c7767,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-9f1996e813d26a7a4b70,item-version-55b298a27778440f286f,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-45,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,Seaborn is a type of,data visualization library,A,kp-ml-logistic-regression,Logistic Regression,mapping-candidate-4be5899ea616d66c42d4,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-d402e2a21702237b2bbb,item-version-996e7723da8c34b92ff7,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-46,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,A confusion matrix is also known as a:,error matrix,A,kp-ml-logistic-regression,Logistic Regression,mapping-candidate-4feb613bfd6c95be7cfc,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-327755b4d4d458e420f3,item-version-5b9e82ea4cb0bf6ebf8a,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-47,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,A good model will have:,a large number of true positives and true negatives in its confusion matrix,B,kp-ml-logistic-regression,Logistic Regression,mapping-candidate-eef0166eae5a76325166,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-f3c9fe101d02efa32392,item-version-5c6d8eda56e9b4bc2734,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-48,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,What does ONNX stand for?,Open Neural Network Exchange,B,kp-ml-web-app,Build a Web App,mapping-candidate-3dfbcdcc62bcbc345830,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-affffbd055570ec934fe,item-version-0366886ff91844555853,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-49,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,How is Flask defined by its creators?,micro-framework,C,kp-ml-web-app,Build a Web App,mapping-candidate-4b71164a3d69f3fb7dc7,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-7f1963e1aa5fafb4bf8f,item-version-bed909e8427d02f3b69d,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-50,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,What does the Pickle module of Python do,Serializes and De-serializes a Python Object,C,kp-ml-web-app,Build a Web App,mapping-candidate-231fa59dc3bf33d127ea,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-e52984b61804b7671a3b,item-version-38c284f0435f493ebcc5,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-51,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,What are the tools we can use to host a pre-trained model on the web using Python?,Flask,A,kp-ml-web-app,Build a Web App,mapping-candidate-5e4e87c8df37ed53dbfa,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-9503dec777d95f2af31d,item-version-2781856a959e1b6cc810,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-52,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,What does SaaS stand for?,Software as a Service,B,kp-ml-web-app,Build a Web App,mapping-candidate-d7d519a5469169ad7f97,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-bee7ca828a24d51da75f,item-version-f84a091f69697d229bda,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-53,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,What does Scikit-learn's LabelEncoder library do?,Encodes data alphabetically,A,kp-ml-web-app,Build a Web App,mapping-candidate-685e5853227437895a32,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-a3f2d04948d573ff1d9e,item-version-83ed178ba40853e54725,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-54,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,Classification is a form of supervised learning that has a lot in common with,Regression techniques,B,kp-ml-classification-intro,Classification 1,mapping-candidate-6a250352d4a1a047e700,0.99,upstream_quiz_group,pending,pending,pending,hold,,
