mapping_candidate_id,learning_item_id,learning_item_version_id,item_type,title,source_id,source_file_path,knowledge_point_id,knowledge_point_name,relation_type,confidence,mapping_method,rationale,review_status,reviewer_id,reviewer_note
mapping-candidate-e45c3a3b8eed0caf3674,item-c3b819693f4b32177ce8,item-version-5ecc6c8a897753b860cc,notebook_lab,Nigerian Music scraped from Spotify - an analysis,microsoft-ml-for-beginners,5-Clustering/1-Visualize/notebook.ipynb,kp-ml-clustering-intro,Introduction to Clustering,target,0.95,curriculum_source_path_candidate,课程目录 5-Clustering/1-Visualize/ 对应正式课程知识点,pending,,
mapping-candidate-ebc3ad5dcfbf025aaf25,item-8f038c80065875f5679f,item-version-9c87a07f4baf7d197243,project_task,Try different clustering methods,microsoft-ml-for-beginners,5-Clustering/2-K-Means/assignment.md,kp-ml-kmeans,K-Means Clustering,target,0.95,curriculum_source_path_candidate,课程目录 5-Clustering/2-K-Means/ 对应正式课程知识点,pending,,
mapping-candidate-e5e5bb3967575c380928,item-59868a0f5ce7339dc472,item-version-720200f8932ffcabe08e,notebook_lab,Nigerian Music scraped from Spotify - an analysis,microsoft-ml-for-beginners,5-Clustering/2-K-Means/notebook.ipynb,kp-ml-kmeans,K-Means Clustering,target,0.95,curriculum_source_path_candidate,课程目录 5-Clustering/2-K-Means/ 对应正式课程知识点,pending,,
mapping-candidate-db9bf095a0486b918724,item-b1871aabbc58d00158d3,item-version-addbeabf81a840c4fb04,coding_task,How is this technology made possible?,microsoft-ml-for-beginners,6-NLP/1-Introduction-to-NLP/README.md,kp-ml-nlp-intro,Intro to NLP,target,0.95,curriculum_source_path_candidate,课程目录 6-NLP/1-Introduction-to-NLP/ 对应正式课程知识点,pending,,
mapping-candidate-cfa2afcf5632be6c1f90,item-6c9b4fab8fbe1ea4c784,item-version-6b2ddb4ef2d89bc47798,project_task,Search for a bot,microsoft-ml-for-beginners,6-NLP/1-Introduction-to-NLP/assignment.md,kp-ml-nlp-intro,Intro to NLP,target,0.95,curriculum_source_path_candidate,课程目录 6-NLP/1-Introduction-to-NLP/ 对应正式课程知识点,pending,,
mapping-candidate-ce6a205bee8f45e0a16a,item-5ab736debb815ef48e0d,item-version-9a9de0adc9400cbf3356,project_task,Make a Bot talk back,microsoft-ml-for-beginners,6-NLP/2-Tasks/assignment.md,kp-ml-nlp-tasks,NLP Tasks,target,0.95,curriculum_source_path_candidate,课程目录 6-NLP/2-Tasks/ 对应正式课程知识点,pending,,
mapping-candidate-289d9cb549e24d0975ed,item-9849696a9a77ffa2e782,item-version-9a4fd234de3552096af2,project_task,Poetic license,microsoft-ml-for-beginners,6-NLP/3-Translation-Sentiment/assignment.md,kp-ml-nlp-translation,NLP and Translation,target,0.95,curriculum_source_path_candidate,课程目录 6-NLP/3-Translation-Sentiment/ 对应正式课程知识点,pending,,
mapping-candidate-4c5879999fac497f9cb9,item-83f66ca1fe9ff8c199d5,item-version-2a8e552f009608eb8e1b,project_task,NLTK,microsoft-ml-for-beginners,6-NLP/4-Hotel-Reviews-1/assignment.md,kp-ml-nlp-sentiment-1,NLP 4,target,0.95,curriculum_source_path_candidate,课程目录 6-NLP/4-Hotel-Reviews-1/ 对应正式课程知识点,pending,,
mapping-candidate-c75a6064d3a19a976fad,item-c6a1aeae8ff3ee3bd2af,item-version-b24bd3d904a39eb03ab2,project_task,Challenge,microsoft-ml-for-beginners,6-NLP/5-Hotel-Reviews-2/README.md,kp-ml-nlp-sentiment-2,NLP 5,target,0.95,curriculum_source_path_candidate,课程目录 6-NLP/5-Hotel-Reviews-2/ 对应正式课程知识点,pending,,
mapping-candidate-5c7d55e89007b1d50205,item-5b053ccba04e573e7e3d,item-version-efa7925bb8b4c1a988c2,project_task,Try a different dataset,microsoft-ml-for-beginners,6-NLP/5-Hotel-Reviews-2/assignment.md,kp-ml-nlp-sentiment-2,NLP 5,target,0.95,curriculum_source_path_candidate,课程目录 6-NLP/5-Hotel-Reviews-2/ 对应正式课程知识点,pending,,
mapping-candidate-d864e17134ba0e4f6465,item-31c37e6f2cfec7f9a697,item-version-a350f8f858b9b907cdd3,project_task,Visualize some more Time Series,microsoft-ml-for-beginners,7-TimeSeries/1-Introduction/assignment.md,kp-ml-timeseries-intro,Intro to Time Series,target,0.95,curriculum_source_path_candidate,课程目录 7-TimeSeries/1-Introduction/ 对应正式课程知识点,pending,,
mapping-candidate-d10d9fa0f5fd12d5dcf1,item-16117d841233bfeef2ef,item-version-e9b863b9fa36cb01c276,notebook_lab,Data Setup,microsoft-ml-for-beginners,7-TimeSeries/1-Introduction/working/notebook.ipynb,kp-ml-timeseries-intro,Intro to Time Series,target,0.95,curriculum_source_path_candidate,课程目录 7-TimeSeries/1-Introduction/ 对应正式课程知识点,pending,,
mapping-candidate-0ca102d229d46122ae4e,item-9a39f6b83c8fe4ca7ac6,item-version-fc52ee94224c1fd5838b,project_task,A new ARIMA model,microsoft-ml-for-beginners,7-TimeSeries/2-ARIMA/assignment.md,kp-ml-timeseries-arima,Time Series ARIMA,target,0.95,curriculum_source_path_candidate,课程目录 7-TimeSeries/2-ARIMA/ 对应正式课程知识点,pending,,
mapping-candidate-6fc2709f640b8d8a7ca0,item-3bc27582885289e3a8db,item-version-c691d01606082cffa142,notebook_lab,Time series forecasting with ARIMA,microsoft-ml-for-beginners,7-TimeSeries/2-ARIMA/working/notebook.ipynb,kp-ml-timeseries-arima,Time Series ARIMA,target,0.95,curriculum_source_path_candidate,课程目录 7-TimeSeries/2-ARIMA/ 对应正式课程知识点,pending,,
mapping-candidate-cfe45a9f23ab31edff75,item-3bd673519199c2bbf889,item-version-540d59c7bf2feb4f4956,project_task,A new SVR model,microsoft-ml-for-beginners,7-TimeSeries/3-SVR/assignment.md,kp-ml-timeseries-svr,Time Series SVR,target,0.95,curriculum_source_path_candidate,课程目录 7-TimeSeries/3-SVR/ 对应正式课程知识点,pending,,
mapping-candidate-89425267873b1a4024df,item-77e93ab01498dbd60ea5,item-version-43d4bfb808b4d0b90a80,notebook_lab,Time series prediction using Support Vector Regressor,microsoft-ml-for-beginners,7-TimeSeries/3-SVR/working/notebook.ipynb,kp-ml-timeseries-svr,Time Series SVR,target,0.95,curriculum_source_path_candidate,课程目录 7-TimeSeries/3-SVR/ 对应正式课程知识点,pending,,
mapping-candidate-ebcf8682d025d972e947,item-c1b3cc37a1bc7cac0c58,item-version-4ebe653c6051874c023d,project_task,A More Realistic World,microsoft-ml-for-beginners,8-Reinforcement/1-QLearning/assignment.md,kp-ml-reinforcement-qlearning,Reinforcement 1,target,0.95,curriculum_source_path_candidate,课程目录 8-Reinforcement/1-QLearning/ 对应正式课程知识点,pending,,
mapping-candidate-c088940be800cc0c1816,item-f4b2b26e0c16ce6aae41,item-version-50acf1b190ac9501cb82,notebook_lab,Peter and the Wolf: Reinforcement Learning Primer,microsoft-ml-for-beginners,8-Reinforcement/1-QLearning/notebook.ipynb,kp-ml-reinforcement-qlearning,Reinforcement 1,target,0.95,curriculum_source_path_candidate,课程目录 8-Reinforcement/1-QLearning/ 对应正式课程知识点,pending,,
mapping-candidate-4216d34c5ef8ac5e9ccb,item-bb6dbb4731fc88741e46,item-version-3774484e433652e1b398,project_task,Train Mountain Car,microsoft-ml-for-beginners,8-Reinforcement/2-Gym/assignment.md,kp-ml-reinforcement-gym,Reinforcement 2,target,0.95,curriculum_source_path_candidate,课程目录 8-Reinforcement/2-Gym/ 对应正式课程知识点,pending,,
mapping-candidate-8514cb39c7868864365d,item-5c103e519fd1b8893959,item-version-0f8a0884b9f2cdccb60b,notebook_lab,CartPole Skating,microsoft-ml-for-beginners,8-Reinforcement/2-Gym/notebook.ipynb,kp-ml-reinforcement-gym,Reinforcement 2,target,0.95,curriculum_source_path_candidate,课程目录 8-Reinforcement/2-Gym/ 对应正式课程知识点,pending,,
mapping-candidate-d2036bf3d580bbacad4a,item-922f20f8df21865f1937,item-version-d3c8a377b83afe21b771,project_task,A ML Scavenger Hunt,microsoft-ml-for-beginners,9-Real-World/1-Applications/assignment.md,kp-ml-real-world-applications,Real World Applications,target,0.95,curriculum_source_path_candidate,课程目录 9-Real-World/ 对应正式课程知识点,pending,,
mapping-candidate-c07083265e90fef1f817,item-fcbd7d939445d5fe0901,item-version-847349cce3c1bc19d28f,project_task,Explore Responsible AI (RAI) dashboard,microsoft-ml-for-beginners,9-Real-World/2-Debugging-ML-Models/assignment.md,kp-ml-real-world-applications,Real World Applications,target,0.95,curriculum_source_path_candidate,课程目录 9-Real-World/ 对应正式课程知识点,pending,,
mapping-candidate-9ac37545b7a226526a1a,item-61942fa0eb305630bbc6,item-version-f287a6359aeb49abeb3d,notebook_lab,**Introduction to Tensors**,microsoft-ml-for-beginners,PyTorch_Fundamentals.ipynb,kp-ml-tools,Tools and Techniques,target,0.95,curriculum_source_path_candidate,课程目录 PyTorch_Fundamentals.ipynb 对应正式课程知识点,pending,,
mapping-candidate-646d25f0895f7bf4eebc,item-a30ba91d68456500ecbd,item-version-69ccb909fa8ae4e2a7fb,notebook_lab,Simple Image Classifier,microsoft-ai-for-beginners,examples/03-image-classifier.ipynb,kp-ai-lesson-03,Perceptron,target,0.97,curriculum_source_path_candidate,课程文件路径归属于 AI 第 3 课,pending,,
mapping-candidate-10768443d09ef3ee1252,item-25efa1fdbdd5fcfc503b,item-version-992cfad41d0f9ed7b434,project_task,Game Jam,microsoft-ai-for-beginners,lessons/1-Intro/assignment.md,kp-ai-lesson-01,Introduction to AI,target,0.97,curriculum_source_path_candidate,课程文件路径归属于 AI 第 1 课,pending,,
mapping-candidate-4cd7b84dd139e7dd6cec,item-1f6c06e3898c045bc1c7,item-version-6b675e0bb062bfc6a886,notebook_lab,Implementing an Animal Expert System,microsoft-ai-for-beginners,lessons/2-Symbolic/Animals.ipynb,kp-ai-lesson-02,Knowledge Representation and Expert Systems,target,0.97,curriculum_source_path_candidate,课程文件路径归属于 AI 第 2 课,pending,,
mapping-candidate-406653a4da8bd8e53601,item-a77864ea9b5e404d82ff,item-version-9882364a513ef9de275e,notebook_lab,Family Relationships Ontology,microsoft-ai-for-beginners,lessons/2-Symbolic/FamilyOntology.ipynb,kp-ai-lesson-02,Knowledge Representation and Expert Systems,target,0.97,curriculum_source_path_candidate,课程文件路径归属于 AI 第 2 课,pending,,
mapping-candidate-dfa80f85ea7cadf2c525,item-0857f8206778ac801e30,item-version-ff51ac4e5b9ab1dc0707,notebook_lab,Concept Graph using ConceptNet,microsoft-ai-for-beginners,lessons/2-Symbolic/MSConceptGraph.ipynb,kp-ai-lesson-02,Knowledge Representation and Expert Systems,target,0.97,curriculum_source_path_candidate,课程文件路径归属于 AI 第 2 课,pending,,
mapping-candidate-7624b2ca51d60f3f563d,item-93970a9cebc9dde41d43,item-version-de1448d596303531328d,project_task,Build an Ontology,microsoft-ai-for-beginners,lessons/2-Symbolic/assignment.md,kp-ai-lesson-02,Knowledge Representation and Expert Systems,target,0.97,curriculum_source_path_candidate,课程文件路径归属于 AI 第 2 课,pending,,
mapping-candidate-3e59e3ded748e10987b5,item-d563deca3577cb98afd2,item-version-17d8183e0c2d16b1e589,notebook_lab,Perceptron,microsoft-ai-for-beginners,lessons/3-NeuralNetworks/03-Perceptron/Perceptron.ipynb,kp-ai-lesson-03,Perceptron,target,0.97,curriculum_source_path_candidate,课程文件路径归属于 AI 第 3 课,pending,,
mapping-candidate-bbef42401f26b4607f35,item-f9ceaad054ed291dcf17,item-version-3df58c77367d5c5751ab,notebook_lab,Multi-Class Classification with Perceptron,microsoft-ai-for-beginners,lessons/3-NeuralNetworks/03-Perceptron/lab/PerceptronMultiClass.ipynb,kp-ai-lesson-03,Perceptron,target,0.97,curriculum_source_path_candidate,课程文件路径归属于 AI 第 3 课,pending,,
mapping-candidate-15badfd0cee53ccdb19d,item-1b438dd0a2bab2e32bc8,item-version-940df184102bbb64903d,notebook_lab,Multi-Class Classification with Perceptron,microsoft-ai-for-beginners,lessons/3-NeuralNetworks/03-Perceptron/lab/README.md,kp-ai-lesson-03,Perceptron,target,0.97,curriculum_source_path_candidate,课程文件路径归属于 AI 第 3 课,pending,,
mapping-candidate-e85c6feae95fdaf3d489,item-8f82aac9dfdd662cfa59,item-version-b8b7633b4ce3f505edca,notebook_lab,Multi-Layered Perceptrons,microsoft-ai-for-beginners,lessons/3-NeuralNetworks/04-OwnFramework/OwnFramework.ipynb,kp-ai-lesson-04,Neural Networks,target,0.97,curriculum_source_path_candidate,课程文件路径归属于 AI 第 4 课,pending,,
mapping-candidate-f0a8447ea3b43af7810a,item-a4de6af77b154074342a,item-version-f6ce2488c84f157bbe6d,notebook_lab,MNIST Digit Classification with our own Framework,microsoft-ai-for-beginners,lessons/3-NeuralNetworks/04-OwnFramework/lab/MyFW_MNIST.ipynb,kp-ai-lesson-04,Neural Networks,target,0.97,curriculum_source_path_candidate,课程文件路径归属于 AI 第 4 课,pending,,
mapping-candidate-fa4cd46c3ce72a67f632,item-cf901afd2f271805125c,item-version-8792ce7b4fdc5a18eeb9,notebook_lab,MNIST Classification with Our Own Framework,microsoft-ai-for-beginners,lessons/3-NeuralNetworks/04-OwnFramework/lab/README.md,kp-ai-lesson-04,Neural Networks,target,0.97,curriculum_source_path_candidate,课程文件路径归属于 AI 第 4 课,pending,,
mapping-candidate-690239b53bad7c15d1c9,item-ba81e0e19dc8b322463e,item-version-560bc720fce3761bf3ba,notebook_lab,Simplest Introduction to Neural Networks with Keras,microsoft-ai-for-beginners,lessons/3-NeuralNetworks/05-Frameworks/IntroKeras.ipynb,kp-ai-lesson-05,Deep Learning Frameworks,target,0.97,curriculum_source_path_candidate,课程文件路径归属于 AI 第 5 课,pending,,
mapping-candidate-cda5a85d1d1c45770360,item-4e2c5c39f8da2793f903,item-version-2a06bd19bcf0737aee6e,notebook_lab,Introduction to Tensorflow and Keras,microsoft-ai-for-beginners,lessons/3-NeuralNetworks/05-Frameworks/IntroKerasTF.ipynb,kp-ai-lesson-05,Deep Learning Frameworks,target,0.97,curriculum_source_path_candidate,课程文件路径归属于 AI 第 5 课,pending,,
mapping-candidate-f8ff48c01af738579039,item-87203281aece36a54eb9,item-version-58851afb105a6fdee2c2,notebook_lab,Introduction to PyTorch,microsoft-ai-for-beginners,lessons/3-NeuralNetworks/05-Frameworks/IntroPyTorch.ipynb,kp-ai-lesson-05,Deep Learning Frameworks,target,0.97,curriculum_source_path_candidate,课程文件路径归属于 AI 第 5 课,pending,,
mapping-candidate-8e686f7aa133667bc8b9,item-2358a3e62df128d04712,item-version-59c13a4fb7d0f5445059,notebook_lab,Classification with PyTorch/TensorFlow,microsoft-ai-for-beginners,lessons/3-NeuralNetworks/05-Frameworks/lab/LabFrameworks.ipynb,kp-ai-lesson-05,Deep Learning Frameworks,target,0.97,curriculum_source_path_candidate,课程文件路径归属于 AI 第 5 课,pending,,
mapping-candidate-91607c7b2d58f078f987,item-29a4d7978cdc3cd3281a,item-version-171b1885f035f4ff57cb,notebook_lab,Classification with PyTorch/TensorFlow,microsoft-ai-for-beginners,lessons/3-NeuralNetworks/05-Frameworks/lab/README.md,kp-ai-lesson-05,Deep Learning Frameworks,target,0.97,curriculum_source_path_candidate,课程文件路径归属于 AI 第 5 课,pending,,
mapping-candidate-8a91ea01cb68ee70389b,item-0a15d2c6f3465192883f,item-version-512f572a80c6bec57a53,notebook_lab,Computer Vision and OpenCV,microsoft-ai-for-beginners,lessons/4-ComputerVision/06-IntroCV/OpenCV.ipynb,kp-ai-lesson-06,Introduction to Computer Vision,target,0.97,curriculum_source_path_candidate,课程文件路径归属于 AI 第 6 课,pending,,
mapping-candidate-6415fdf4b431dd0df282,item-3e8f98c02f4175dba9f8,item-version-458d467b5c71e1a4d824,notebook_lab,Palm Movement Detection using Optical Flow,microsoft-ai-for-beginners,lessons/4-ComputerVision/06-IntroCV/lab/MovementDetection.ipynb,kp-ai-lesson-06,Introduction to Computer Vision,target,0.97,curriculum_source_path_candidate,课程文件路径归属于 AI 第 6 课,pending,,
mapping-candidate-8fd1ec8466e1db368e5e,item-012be7ba6c8d88f5d4fb,item-version-878d6ff63b0a8963e657,notebook_lab,Detecting Movements using Optical Flow,microsoft-ai-for-beginners,lessons/4-ComputerVision/06-IntroCV/lab/README.md,kp-ai-lesson-06,Introduction to Computer Vision,target,0.97,curriculum_source_path_candidate,课程文件路径归属于 AI 第 6 课,pending,,
mapping-candidate-9f0cd26df73865642530,item-938fd321624647018d8f,item-version-caae7d233d5a3a23f549,notebook_lab,Convolutional neural networks,microsoft-ai-for-beginners,lessons/4-ComputerVision/07-ConvNets/ConvNetsPyTorch.ipynb,kp-ai-lesson-07,Convolutional Neural Networks,target,0.97,curriculum_source_path_candidate,课程文件路径归属于 AI 第 7 课,pending,,
mapping-candidate-bfa23bfb9d908ef7525b,item-5e63e07819a8eef38e6b,item-version-a0cfe237eed0e994c81b,notebook_lab,Convolutional neural networks,microsoft-ai-for-beginners,lessons/4-ComputerVision/07-ConvNets/ConvNetsTF.ipynb,kp-ai-lesson-07,Convolutional Neural Networks,target,0.97,curriculum_source_path_candidate,课程文件路径归属于 AI 第 7 课,pending,,
mapping-candidate-399025cab9c7353f3f77,item-08f0b40d8b180341d1f0,item-version-d51af86c6f6d408a5f3e,notebook_lab,Classification of Pet's Faces,microsoft-ai-for-beginners,lessons/4-ComputerVision/07-ConvNets/lab/PetFaces.ipynb,kp-ai-lesson-07,Convolutional Neural Networks,target,0.97,curriculum_source_path_candidate,课程文件路径归属于 AI 第 7 课,pending,,
mapping-candidate-bf46af50aade15d3678a,item-53588b45724d4c73a689,item-version-00aaa5997b9b3e25f4f2,notebook_lab,Classification of Pets Faces,microsoft-ai-for-beginners,lessons/4-ComputerVision/07-ConvNets/lab/README.md,kp-ai-lesson-07,Convolutional Neural Networks,target,0.97,curriculum_source_path_candidate,课程文件路径归属于 AI 第 7 课,pending,,
mapping-candidate-4f58be544710069a7b8d,item-1cb3b36f4db055979e44,item-version-d716e6b053ad37288449,notebook_lab,How Neural Network sees a Cat,microsoft-ai-for-beginners,lessons/4-ComputerVision/08-TransferLearning/AdversarialCat_TF.ipynb,kp-ai-lesson-08,Pre-trained Networks and Transfer Learning,target,0.97,curriculum_source_path_candidate,课程文件路径归属于 AI 第 8 课,pending,,
mapping-candidate-e495f249072338f29177,item-6bce0cd178bda107c9ff,item-version-7d339af0ff4a15e010d5,notebook_lab,The Effect of Dropout,microsoft-ai-for-beginners,lessons/4-ComputerVision/08-TransferLearning/Dropout.ipynb,kp-ai-lesson-08,Pre-trained Networks and Transfer Learning,target,0.97,curriculum_source_path_candidate,课程文件路径归属于 AI 第 8 课,pending,,
