edge_candidate_id,from_knowledge_point_id,from_knowledge_point_name,to_knowledge_point_id,to_knowledge_point_name,relation_type,confidence,mapping_method,review_status,reviewer_id,reviewer_note
edge-candidate-b4c519afb647977b8cb5,kp-ai-lesson-11,Object Detection,kp-ai-lesson-12,Segmentation,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-3641877f49a36ad49da8,kp-ai-lesson-12,Segmentation,kp-ai-lesson-13,Text Representation,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-ccc0ac410cab08afa682,kp-ai-lesson-13,Text Representation,kp-ai-lesson-14,Embeddings,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-87aa135142472e1e879c,kp-ai-lesson-14,Embeddings,kp-ai-lesson-15,Language Modeling,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-bc59ad3afa5485be9560,kp-ai-lesson-15,Language Modeling,kp-ai-lesson-16,Recurrent Neural Networks,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-b37314064b495c7e6555,kp-ai-lesson-16,Recurrent Neural Networks,kp-ai-lesson-17,Generative Networks,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-57c4895a21b3e3835c76,kp-ai-lesson-17,Generative Networks,kp-ai-lesson-18,Transformers,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-402ce09278488b6d48f9,kp-ai-lesson-18,Transformers,kp-ai-lesson-19,Named Entity Recognition,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-be942ebbd90415cd6630,kp-ai-lesson-19,Named Entity Recognition,kp-ai-lesson-20,Large Language Models,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-d1cd804c92fca555804b,kp-ai-lesson-20,Large Language Models,kp-ai-lesson-21,Genetic Algorithms,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-8536df18e0a4f24dd7fa,kp-ai-lesson-21,Genetic Algorithms,kp-ai-lesson-22,Reinforcement Learning,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-3cda73b7ccc553effd12,kp-ai-lesson-22,Reinforcement Learning,kp-ai-lesson-23,Multi-Agent Modeling,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-95490d354e162c017b86,kp-ai-lesson-23,Multi-Agent Modeling,kp-ai-lesson-24,Ethical and Responsible AI,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-2b6aab8593f5206bc64a,kp-ml-intro,Introduction to Machine Learning,kp-ml-history,History of Machine Learning,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-69220656b8549e366cdb,kp-ml-history,History of Machine Learning,kp-ml-fairness,Fairness and Machine Learning,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-b65ce013d9f195deeef7,kp-ml-fairness,Fairness and Machine Learning,kp-ml-tools,Tools and Techniques,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-3a6f0e276365872ec044,kp-ml-tools,Tools and Techniques,kp-ml-regression-intro,Introduction to Regression,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-4a787bd5de5a34da5118,kp-ml-regression-intro,Introduction to Regression,kp-ml-regression-data,Prepare and Visualize Data for Regression,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-b7c133058f7ee93079a6,kp-ml-regression-data,Prepare and Visualize Data for Regression,kp-ml-linear-polynomial-regression,Linear and Polynomial Regression,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-d31d3b11d2eb93c35d8c,kp-ml-linear-polynomial-regression,Linear and Polynomial Regression,kp-ml-logistic-regression,Logistic Regression,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-28e8d944a4560b015eb9,kp-ml-logistic-regression,Logistic Regression,kp-ml-web-app,Build a Web App,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-70cb470aeb13d0b24492,kp-ml-web-app,Build a Web App,kp-ml-classification-intro,Classification 1,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-76638acb9f9c69f5f98c,kp-ml-classification-intro,Classification 1,kp-ml-classifiers-1,Classification 2,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-bd23e5f3efa094a6e0c5,kp-ml-classifiers-1,Classification 2,kp-ml-classifiers-2,Classification 3,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-7bf0d262b227c89ad693,kp-ml-classifiers-2,Classification 3,kp-ml-classification-applied,Classification 4,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-fcbb3ba55795b2c2f4bc,kp-ml-classification-applied,Classification 4,kp-ml-clustering-intro,Introduction to Clustering,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-17b249dd0cf1e7b4080e,kp-ml-clustering-intro,Introduction to Clustering,kp-ml-kmeans,K-Means Clustering,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-93561fdf62949be8cacb,kp-ml-kmeans,K-Means Clustering,kp-ml-nlp-intro,Intro to NLP,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-b9537a1ebce45a46b859,kp-ml-nlp-intro,Intro to NLP,kp-ml-nlp-tasks,NLP Tasks,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-579d00173402b444224c,kp-ml-nlp-tasks,NLP Tasks,kp-ml-nlp-translation,NLP and Translation,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-923759560868540eb255,kp-ml-nlp-translation,NLP and Translation,kp-ml-nlp-sentiment-1,NLP 4,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-697440f2accf9564bf67,kp-ml-nlp-sentiment-1,NLP 4,kp-ml-nlp-sentiment-2,NLP 5,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-17f288d157aa6d8fead5,kp-ml-nlp-sentiment-2,NLP 5,kp-ml-timeseries-intro,Intro to Time Series,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-c6d54365aed5e40c0657,kp-ml-timeseries-intro,Intro to Time Series,kp-ml-timeseries-arima,Time Series ARIMA,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-45c0da395b31c958a7c2,kp-ml-timeseries-arima,Time Series ARIMA,kp-ml-reinforcement-qlearning,Reinforcement 1,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-6e3c0ea8cd159aafbc22,kp-ml-reinforcement-qlearning,Reinforcement 1,kp-ml-reinforcement-gym,Reinforcement 2,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-54cceaefd08bad9c9a9c,kp-ml-reinforcement-gym,Reinforcement 2,kp-ml-real-world-applications,Real World Applications,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-17fbb36a5a5f3a927dcd,kp-ml-real-world-applications,Real World Applications,kp-ml-timeseries-svr,Time Series SVR,prerequisite,0.75,curriculum_sequence_candidate,pending,,
