learning_item_id,source_id,source_item_key,question_stem,correct_option_key,blocker_codes,warning_codes,quality_status,reviewer_id,reviewer_note
item-c711bac8017976ace0c5,microsoft-ml-for-beginners,json-18,"When building a model, you should:",A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-c21c6d75b8167311a3d6,microsoft-ml-for-beginners,json-19,Your data's ___ will impact the quality of your ML model,C,,COMPOUND_OPTION_REVIEW|STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-b19f822e1567a18f5aa2,microsoft-ml-for-beginners,json-20,A feature variable is:,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-84c0c579d88774f1415a,microsoft-ml-for-beginners,json-21,You should visualize your data because,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-e2ea56faddd9431261cd,microsoft-ml-for-beginners,json-22,Split your data into:,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-18b152203ff2befdbd6c,microsoft-ml-for-beginners,json-23,A common command to start the training process in various ML libraries is:,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-3bc83b6056c68f07eadb,microsoft-ml-for-beginners,json-24,Which of these variables is a numeric variable?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-c0fa0ae76924ca226999,microsoft-ml-for-beginners,json-25,Which of these variables is a categorical variable?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-eb6b77844f9c010dfd1a,microsoft-ml-for-beginners,json-26,Which of these problems is a Regression analysis-based problem?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-c68fcb2c15c47a804775,microsoft-ml-for-beginners,json-27,"If your Machine Learning model's training accuracy is 95 % and the testing accuracy is 30 %, then what type of condition it is called?",A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-bffdf9bcdca385464e0f,microsoft-ml-for-beginners,json-28,The process of identifying significant features from a set of features is called:,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-052077d4fe34939b54b4,microsoft-ml-for-beginners,json-29,The process of splitting a dataset into a certain ratio of training and testing dataset using Scikit Learn's 'train_test_split()' method/function is called:,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-33b512b745631313b2d9,microsoft-ml-for-beginners,json-30,Which of these Python modules is used to plot the visualization of data?,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-0577eb1d80e5755cb032,microsoft-ml-for-beginners,json-31,"If you want to understand the spread or the other characteristics of data points of your dataset, then perform:",A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-e1faeea32d6f3c5223ce,microsoft-ml-for-beginners,json-32,Which of these is a part of the Data Visualization step in a Machine Learning project?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-005e2d6666c7efdc9918,microsoft-ml-for-beginners,json-33,"Which of these code snippets is correct based on this lesson, if you want to check for the presence of missing values in your dataset? Suppose the dataset is stored in a variable named 'dataset' which is a Pandas DataFrame object.",A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-b51473989fefa9ecad30,microsoft-ml-for-beginners,json-34,Which of these plotting methods is useful when you would like to understand the spread of different groups of datapoints from your dataset?,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-47caf573a1bafba28a4e,microsoft-ml-for-beginners,json-35,What can Data Visualization NOT tell you?,B,,NEGATIVE_WORDING_REVIEW|STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-65c49e2fd7c93e07fcff,microsoft-ml-for-beginners,json-36,Matplotlib is a,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW|VERY_SHORT_STEM,needs_review,,
item-81011cfc902ccb20fce2,microsoft-ml-for-beginners,json-37,Linear Regression uses the following to plot relationships between variables,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-5aedc4b3724653498974,microsoft-ml-for-beginners,json-38,A good Linear Regression model has a ___ Correlation Coefficient,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-d345727d141da99cca3d,microsoft-ml-for-beginners,json-39,"If your data is nonlinear, try a ___ type of Regression",C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-837bc1c86c030bf5d94c,microsoft-ml-for-beginners,json-40,These are all types of Regression methods,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-595f83d3287bdc0eee7f,microsoft-ml-for-beginners,json-41,Least-Squares Regression means that all the datapoints surrounding the regression line are:,C,,NEGATIVE_WORDING_REVIEW|STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-d1e58fc9fbdc1537a96b,microsoft-ml-for-beginners,json-42,Use Logistic Regression to predict,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-10240d13729b1c88c1af,microsoft-ml-for-beginners,json-43,Types of Logistic Regression include,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-f293fce96d5e7d194407,microsoft-ml-for-beginners,json-44,Your data has weak correlations. The best type of Regression to use is:,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-9f1996e813d26a7a4b70,microsoft-ml-for-beginners,json-45,Seaborn is a type of,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-d402e2a21702237b2bbb,microsoft-ml-for-beginners,json-46,A confusion matrix is also known as a:,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-327755b4d4d458e420f3,microsoft-ml-for-beginners,json-47,A good model will have:,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-f3c9fe101d02efa32392,microsoft-ml-for-beginners,json-48,What does ONNX stand for?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-affffbd055570ec934fe,microsoft-ml-for-beginners,json-49,How is Flask defined by its creators?,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-7f1963e1aa5fafb4bf8f,microsoft-ml-for-beginners,json-50,What does the Pickle module of Python do,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-e52984b61804b7671a3b,microsoft-ml-for-beginners,json-51,What are the tools we can use to host a pre-trained model on the web using Python?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-9503dec777d95f2af31d,microsoft-ml-for-beginners,json-52,What does SaaS stand for?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-bee7ca828a24d51da75f,microsoft-ml-for-beginners,json-53,What does Scikit-learn's LabelEncoder library do?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-a3f2d04948d573ff1d9e,microsoft-ml-for-beginners,json-54,Classification is a form of supervised learning that has a lot in common with,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-c870f31dc8ace4fec309,microsoft-ml-for-beginners,json-55,What question can classification help answer?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-e2e81e84fb2f627d2d88,microsoft-ml-for-beginners,json-56,What is the first step to using Classification techniques?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-5d0e0efedd8e441a9e5d,microsoft-ml-for-beginners,json-57,What is a multiclass question?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-4931e2e79b55191d3568,microsoft-ml-for-beginners,json-58,It's important to clean out recurrent or unhelpful data to help your classifiers solve your problem.,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-946a8a4417d56e75d3c0,microsoft-ml-for-beginners,json-59,What's the best reason to balance your data?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-28383978b57a036bd181,microsoft-ml-for-beginners,json-60,"Balanced, clean data yields the best classification results",A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-5fc22040c0aa8fa02f12,microsoft-ml-for-beginners,json-61,How do you choose the right classifier?,C,,COMPOUND_OPTION_REVIEW|STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-43908e7ce23ebb0976a3,microsoft-ml-for-beginners,json-62,Classification is a type of,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-6bef3e9f2f893aa181b7,microsoft-ml-for-beginners,json-63,What is a 'solver'?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-690976062b0a01aa5cfd,microsoft-ml-for-beginners,json-64,Which classifier did we use in this lesson?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-a596ca37d49ea98d7749,microsoft-ml-for-beginners,json-65,How do you know if the classification algorithm is working as expected?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-1502e8f0effe39cdcfe8,microsoft-ml-for-beginners,json-66,A good initial classifier to try is:,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-1fbd5ea73ed1a56940f5,microsoft-ml-for-beginners,json-67,Regularization controls:,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW|VERY_SHORT_STEM,needs_review,,
item-e63afa3925559330655f,microsoft-ml-for-beginners,json-68,K-Neighbors classifier can be used for:,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-a5771fe5b16ebc6afd19,microsoft-ml-for-beginners,json-69,Support-Vector classifiers can be used for,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-1735f4fe19970ead2077,microsoft-ml-for-beginners,json-70,Random Forest is a ___ type of classifier,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-6dc6e217ba4b7c2ecb30,microsoft-ml-for-beginners,json-71,Adaboost is known for:,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-eab980b4b7fd0573b053,microsoft-ml-for-beginners,json-72,Recommendation systems might be used for,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-9a1247ea132b9152918c,microsoft-ml-for-beginners,json-73,Embedding a model in a web app helps it to be offline-capable,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-9975f5e64a04d6e24e61,microsoft-ml-for-beginners,json-74,Onnx Runtime can be used for,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-1777d393dfc4a5fbe08e,microsoft-ml-for-beginners,json-75,Netron app helps you:,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-3c3b41cf42ebb43799a3,microsoft-ml-for-beginners,json-76,Convert your Scikit-learn model for use with Onnx using:,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-d80824361bc55c1b042f,microsoft-ml-for-beginners,json-77,Using your model in a web app is called:,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-43204443334395e750e7,microsoft-ml-for-beginners,json-78,A real-life example of clustering would be,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-78b9d1ed489f900e4069,microsoft-ml-for-beginners,json-79,Clustering techniques can be used in these industries,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-76815a18ecdca3b1b528,microsoft-ml-for-beginners,json-80,Clustering is a type of:,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-52f97701b862ffe8e6c5,microsoft-ml-for-beginners,json-81,Euclidean geometry is arranged along,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-c2b674b69b0563769cd7,microsoft-ml-for-beginners,json-82,The density of your clustering data is related to its,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-e7728783463b5015f512,microsoft-ml-for-beginners,json-83,The best-known clustering algorithm is,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-fe736f19b2b226b77e94,microsoft-ml-for-beginners,json-84,K-Means is derived from:,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-62ea63cd3ae934eae383,microsoft-ml-for-beginners,json-85,A good Silhouette score means:,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-a3a20a67afd3d0a752c0,microsoft-ml-for-beginners,json-86,Variance is:,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW|VERY_SHORT_STEM,needs_review,,
item-f9544a553c8a3634975d,microsoft-ml-for-beginners,json-87,A Voronoi diagram shows:,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-e22f904d8cf947b2b93c,microsoft-ml-for-beginners,json-88,Inertia is,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW|VERY_SHORT_STEM,needs_review,,
item-3c1d32745d7391487b23,microsoft-ml-for-beginners,json-89,"Using K-Means, you must first determine the value of 'k'",A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-14c5054c94db2faf1de9,microsoft-ml-for-beginners,json-90,What does NLP stand for in these lessons?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-a9b2a023177c591e53be,microsoft-ml-for-beginners,json-91,Eliza was an early bot that acted as a computer,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-341ae8f8cecc65050ac4,microsoft-ml-for-beginners,json-92,Alan Turing's 'Turing Test' tried to determine if a computer was,C,,COMPOUND_OPTION_REVIEW|STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-065cd2ff59681ead4b9e,microsoft-ml-for-beginners,json-93,Joseph Weizenbaum invented the bot,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-0878748da5f08aff9741,microsoft-ml-for-beginners,json-94,A conversational bot gives output based on,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-b8ebe1ac923226fdd3dd,microsoft-ml-for-beginners,json-95,How would you make the bot more effective?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-67007e89717f94527c87,microsoft-ml-for-beginners,json-96,Tokenization,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW|VERY_SHORT_STEM,needs_review,,
item-19aeab6a6248843d7081,microsoft-ml-for-beginners,json-97,Embeddings,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW|VERY_SHORT_STEM,needs_review,,
item-94adf61b0e10842f949b,microsoft-ml-for-beginners,json-98,Parts-of-Speech Tagging,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-952e45fd8f9c7be898fa,microsoft-ml-for-beginners,json-99,Build a dictionary of how often words reoccur using:,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-61bdc51a7902f4b47d57,microsoft-ml-for-beginners,json-100,N-grams refer to,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-8a093f4f44aa8a383f13,microsoft-ml-for-beginners,json-101,Sentiment analysis,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW|VERY_SHORT_STEM,needs_review,,
item-af32c826c64c768b1384,microsoft-ml-for-beginners,json-102,Naive translation,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW|VERY_SHORT_STEM,needs_review,,
item-bd798085c9b488608f18,microsoft-ml-for-beginners,json-103,A *corpus* of texts refers to,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-ef16bcbd542125cffa80,microsoft-ml-for-beginners,json-104,"If a ML model has enough human translations to build a model on, it can",C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-bd9cb5a48ecd39336b8a,microsoft-ml-for-beginners,json-105,Underlying TextBlob's translation library is:,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-7e4f13c13f992b5de9ed,microsoft-ml-for-beginners,json-106,To use `blob.translate` you need:,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-73fac48945267a4d889d,microsoft-ml-for-beginners,json-107,"To determine sentiment, an ML approach would be to:",B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-530d2709d0bfb2dcad7b,microsoft-ml-for-beginners,json-108,What information can we get from text that was written or spoken by a human?,C,,COMPOUND_OPTION_REVIEW|STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-671c66e561d2a5891205,microsoft-ml-for-beginners,json-109,What is sentiment analysis?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-a1e69b03c0bb5392a91f,microsoft-ml-for-beginners,json-110,"What question could be answered using a dataset of hotel reviews, Python, and sentiment analysis?",A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-8f78d26ebf5ffb17379e,microsoft-ml-for-beginners,json-111,What is the essence of NLP?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-61b7f2bbc91938a921e3,microsoft-ml-for-beginners,json-112,What are some things you might look for while cleaning data?,C,,COMPOUND_OPTION_REVIEW|STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-1ad6b945021fadd38b64,microsoft-ml-for-beginners,json-113,It is important to understand your data and its foibles before performing operations on it.,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-0d707867bee391a127bf,microsoft-ml-for-beginners,json-114,Why is it important to clean data before analyzing it?,C,,COMPOUND_OPTION_REVIEW|STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-47e97c8fd1b7a08abf47,microsoft-ml-for-beginners,json-115,What is one example of a strategy for cleaning data?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-69bac3eb56a7f9e02fad,microsoft-ml-for-beginners,json-116,It can be useful to categorize data using a Tag column.,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-2421c0736b7555a1c3bf,microsoft-ml-for-beginners,json-117,What is the goal of the dataset?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-d3c7c06ac18e38ef71cf,microsoft-ml-for-beginners,json-118,What are stop words?,C,,COMPOUND_OPTION_REVIEW|STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-3a2200f45f269ae2a26e,microsoft-ml-for-beginners,json-119,"To test the sentiment analysis, make sure it matches the reviewer's score for the same review.",A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-b158a9ebc8e214595641,microsoft-ml-for-beginners,json-120,Time Series Forecasting is useful in,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-b924e9dd561ef037eca0,microsoft-ml-for-beginners,json-121,A time series is a sequence taken at:,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-c533bee5d91931bb1e32,microsoft-ml-for-beginners,json-122,Time series can be used in:,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-76c9d69ffc11d7bd677b,microsoft-ml-for-beginners,json-123,Time series trends are,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-ad9cdc3286922c81106a,microsoft-ml-for-beginners,json-124,Outliers are,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW|VERY_SHORT_STEM,needs_review,,
item-dd2832b1b887b7612c25,microsoft-ml-for-beginners,json-125,Time Series Forecasting is most useful for,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-7cf786501eca4dacfc92,microsoft-ml-for-beginners,json-126,ARIMA stands for,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW|VERY_SHORT_STEM,needs_review,,
item-3e5f3b4f6c31d31b2af2,microsoft-ml-for-beginners,json-127,Stationarity refers to,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW|VERY_SHORT_STEM,needs_review,,
item-35df9151f33070eee6c9,microsoft-ml-for-beginners,json-128,Differencing,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW|VERY_SHORT_STEM,needs_review,,
item-8493c364b8f9a9f944c5,microsoft-ml-for-beginners,json-129,ARIMA is used to make a model fit the special form of time series data,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-07a23a125601ea350bee,microsoft-ml-for-beginners,json-130,Use SARIMAX to,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW|VERY_SHORT_STEM,needs_review,,
item-ea7ac77c7bbc33f3d758,microsoft-ml-for-beginners,json-131,'Walk-Forward' validation involves,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-7a55576272fc930773f7,microsoft-ml-for-beginners,json-132,What is reinforcement learning?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-8e83579e14aef42cb6d0,microsoft-ml-for-beginners,json-133,What is a policy?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-3ebe17e05df0c415325f,microsoft-ml-for-beginners,json-134,A reward function returns a score for each state of an environment.,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-b2e2cfd5345bc6eaa843,microsoft-ml-for-beginners,json-135,What is Q-Learning?,C,,COMPOUND_OPTION_REVIEW|STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-cdc35faf5d33161d234a,microsoft-ml-for-beginners,json-136,For what values does a Q-Table correspond to the random walk policy?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-777206224990ad7a7637,microsoft-ml-for-beginners,json-137,It was better to use exploration than exploitation during the learning process in our lesson.,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-cee7199f86f0c62294f3,microsoft-ml-for-beginners,json-138,Chess and Go are games with continuous states.,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-9b23b1196bd2381b52c6,microsoft-ml-for-beginners,json-139,What is the CartPole problem?,C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-5cd2cd1f6c1e1c4dc2ac,microsoft-ml-for-beginners,json-140,What tool can we use to play out different scenarios of potential states in a game?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-8e3fe98ce4b497172a3c,microsoft-ml-for-beginners,json-141,Where do we define all possible actions in an environment?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-6b784cf3c0bc63b66302,microsoft-ml-for-beginners,json-142,What pair did we use as the dictionary key-value?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-a37550c2935bc0c35e96,microsoft-ml-for-beginners,json-143,What are the hyperparameters we used during Q-Learning?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-d302b6571df14ab40429,microsoft-ml-for-beginners,json-144,What's an example of an ML application in the Finance industry?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
