question_id,book_id,topic_id,target_level,question_type,difficulty,question_summary,prompt,options_json,correct_option,answer_key,explanation,scoring_rule,source_note,version,status
ml-q03-v2,ml-001,rl-001,掌握,应用题,2,MDP组成·应用题,应用情境：某项目需要根据“MDP组成”做出实际决策。下列做法或判断中，哪一项最符合该知识点？,"[""动作"",""固定的神经网络层数"",""状态""]",1,固定的神经网络层数,MDP 由状态、动作、转移和奖励描述，不要求神经网络。（独立的应用题版本 v2）,单选正确得 1 分,机器学习·强化学习基础·MDP；开发者维护独立应用题版本 v2,2,approved
ml-q03-v3,ml-001,rl-001,掌握,综合题,3,MDP组成·综合题,综合判断：团队正在复盘一个模型方案。围绕“MDP组成”，哪一项解释同时符合其定义与实际用途？,"[""固定的神经网络层数"",""状态"",""动作""]",0,固定的神经网络层数,MDP 由状态、动作、转移和奖励描述，不要求神经网络。（独立的综合题版本 v3）,单选正确得 1 分,机器学习·强化学习基础·MDP；开发者维护独立综合题版本 v3,3,approved
ml-q03-v4,ml-001,rl-001,掌握,复测题,2,MDP组成·复测题,无提示复测：不查看资料。请独立判断关于“MDP组成”的下列说法，哪一项最准确？,"[""固定的神经网络层数"",""动作"",""状态""]",0,固定的神经网络层数,MDP 由状态、动作、转移和奖励描述，不要求神经网络。（独立的复测题版本 v4）,单选正确得 1 分,机器学习·强化学习基础·MDP；开发者维护独立复测题版本 v4,4,approved
ml-q04-v2,ml-001,rl-001,掌握,应用题,2,动态规划·应用题,应用情境：某项目需要根据“动态规划”做出实际决策。下列做法或判断中，哪一项最符合该知识点？,"[""随机删除数据"",""更多类别标签"",""下一状态的价值""]",2,下一状态的价值,贝尔曼方程体现了当前回报加未来价值的递推关系。（独立的应用题版本 v2）,单选正确得 1 分,机器学习·强化学习基础·贝尔曼方程；开发者维护独立应用题版本 v2,2,approved
ml-q04-v3,ml-001,rl-001,掌握,综合题,3,动态规划·综合题,综合判断：团队正在复盘一个模型方案。围绕“动态规划”，哪一项解释同时符合其定义与实际用途？,"[""更多类别标签"",""下一状态的价值"",""随机删除数据""]",1,下一状态的价值,贝尔曼方程体现了当前回报加未来价值的递推关系。（独立的综合题版本 v3）,单选正确得 1 分,机器学习·强化学习基础·贝尔曼方程；开发者维护独立综合题版本 v3,3,approved
ml-q04-v4,ml-001,rl-001,掌握,复测题,2,动态规划·复测题,无提示复测：不查看资料。请独立判断关于“动态规划”的下列说法，哪一项最准确？,"[""更多类别标签"",""随机删除数据"",""下一状态的价值""]",2,下一状态的价值,贝尔曼方程体现了当前回报加未来价值的递推关系。（独立的复测题版本 v4）,单选正确得 1 分,机器学习·强化学习基础·贝尔曼方程；开发者维护独立复测题版本 v4,4,approved
ml-q05-v2,ml-001,rl-001,掌握,应用题,2,Q学习更新·应用题,应用情境：某项目需要根据“Q学习更新”做出实际决策。下列做法或判断中，哪一项最符合该知识点？,"[""输入图片尺寸"",""训练集标签数量"",""状态动作价值 Q(s,a)""]",2,"状态动作价值 Q(s,a)","Q-Learning 通过奖励与下一状态最大价值更新 Q(s,a)。（独立的应用题版本 v2）",单选正确得 1 分,机器学习·强化学习实践·Q-Learning；开发者维护独立应用题版本 v2,2,approved
ml-q05-v3,ml-001,rl-001,掌握,综合题,3,Q学习更新·综合题,综合判断：团队正在复盘一个模型方案。围绕“Q学习更新”，哪一项解释同时符合其定义与实际用途？,"[""训练集标签数量"",""状态动作价值 Q(s,a)"",""输入图片尺寸""]",1,"状态动作价值 Q(s,a)","Q-Learning 通过奖励与下一状态最大价值更新 Q(s,a)。（独立的综合题版本 v3）",单选正确得 1 分,机器学习·强化学习实践·Q-Learning；开发者维护独立综合题版本 v3,3,approved
ml-q05-v4,ml-001,rl-001,掌握,复测题,2,Q学习更新·复测题,无提示复测：不查看资料。请独立判断关于“Q学习更新”的下列说法，哪一项最准确？,"[""训练集标签数量"",""输入图片尺寸"",""状态动作价值 Q(s,a)""]",2,"状态动作价值 Q(s,a)","Q-Learning 通过奖励与下一状态最大价值更新 Q(s,a)。（独立的复测题版本 v4）",单选正确得 1 分,机器学习·强化学习实践·Q-Learning；开发者维护独立复测题版本 v4,4,approved
ml-q06-v2,ml-001,rl-001,掌握,应用题,2,Q学习目标·应用题,应用情境：某项目需要根据“Q学习目标”做出实际决策。下列做法或判断中，哪一项最符合该知识点？,"[""每个样本的固定标签"",""神经网络的层数"",""状态动作价值 Q(s,a)""]",2,"状态动作价值 Q(s,a)",Q-Learning 估计在状态下执行动作后的长期价值。（独立的应用题版本 v2）,单选正确得 1 分,Open Machine Learning Book·深度 Q 学习；开发者维护独立应用题版本 v2,2,approved
ml-q06-v3,ml-001,rl-001,掌握,综合题,3,Q学习目标·综合题,综合判断：团队正在复盘一个模型方案。围绕“Q学习目标”，哪一项解释同时符合其定义与实际用途？,"[""神经网络的层数"",""状态动作价值 Q(s,a)"",""每个样本的固定标签""]",1,"状态动作价值 Q(s,a)",Q-Learning 估计在状态下执行动作后的长期价值。（独立的综合题版本 v3）,单选正确得 1 分,Open Machine Learning Book·深度 Q 学习；开发者维护独立综合题版本 v3,3,approved
ml-q06-v4,ml-001,rl-001,掌握,复测题,2,Q学习目标·复测题,无提示复测：不查看资料。请独立判断关于“Q学习目标”的下列说法，哪一项最准确？,"[""神经网络的层数"",""每个样本的固定标签"",""状态动作价值 Q(s,a)""]",2,"状态动作价值 Q(s,a)",Q-Learning 估计在状态下执行动作后的长期价值。（独立的复测题版本 v4）,单选正确得 1 分,Open Machine Learning Book·深度 Q 学习；开发者维护独立复测题版本 v4,4,approved
dl-q01-v2,dl-001,dl-base-001,掌握,应用题,2,人工神经元·应用题,应用情境：某项目需要根据“人工神经元”做出实际决策。下列做法或判断中，哪一项最符合该知识点？,"[""删除所有输入"",""随机改变标签"",""加权求和再加偏置""]",2,加权求和再加偏置,神经元先计算加权求和与偏置，再经过激活函数。（独立的应用题版本 v2）,单选正确得 1 分,深度学习·神经网络基础·人工神经元；开发者维护独立应用题版本 v2,2,approved
dl-q01-v3,dl-001,dl-base-001,掌握,综合题,3,人工神经元·综合题,综合判断：团队正在复盘一个模型方案。围绕“人工神经元”，哪一项解释同时符合其定义与实际用途？,"[""随机改变标签"",""加权求和再加偏置"",""删除所有输入""]",1,加权求和再加偏置,神经元先计算加权求和与偏置，再经过激活函数。（独立的综合题版本 v3）,单选正确得 1 分,深度学习·神经网络基础·人工神经元；开发者维护独立综合题版本 v3,3,approved
dl-q01-v4,dl-001,dl-base-001,掌握,复测题,2,人工神经元·复测题,无提示复测：不查看资料。请独立判断关于“人工神经元”的下列说法，哪一项最准确？,"[""随机改变标签"",""删除所有输入"",""加权求和再加偏置""]",2,加权求和再加偏置,神经元先计算加权求和与偏置，再经过激活函数。（独立的复测题版本 v4）,单选正确得 1 分,深度学习·神经网络基础·人工神经元；开发者维护独立复测题版本 v4,4,approved
dl-q02-v2,dl-001,dl-base-001,掌握,应用题,2,激活函数·应用题,应用情境：某项目需要根据“激活函数”做出实际决策。下列做法或判断中，哪一项最符合该知识点？,"[""增加样本数量"",""替代损失函数"",""引入非线性""]",2,引入非线性,非线性使多层网络能够表示更复杂的函数。（独立的应用题版本 v2）,单选正确得 1 分,深度学习·神经网络基础·激活函数；开发者维护独立应用题版本 v2,2,approved
dl-q02-v3,dl-001,dl-base-001,掌握,综合题,3,激活函数·综合题,综合判断：团队正在复盘一个模型方案。围绕“激活函数”，哪一项解释同时符合其定义与实际用途？,"[""替代损失函数"",""引入非线性"",""增加样本数量""]",1,引入非线性,非线性使多层网络能够表示更复杂的函数。（独立的综合题版本 v3）,单选正确得 1 分,深度学习·神经网络基础·激活函数；开发者维护独立综合题版本 v3,3,approved
dl-q02-v4,dl-001,dl-base-001,掌握,复测题,2,激活函数·复测题,无提示复测：不查看资料。请独立判断关于“激活函数”的下列说法，哪一项最准确？,"[""替代损失函数"",""增加样本数量"",""引入非线性""]",2,引入非线性,非线性使多层网络能够表示更复杂的函数。（独立的复测题版本 v4）,单选正确得 1 分,深度学习·神经网络基础·激活函数；开发者维护独立复测题版本 v4,4,approved
dl-q03-v2,dl-001,dl-base-001,掌握,应用题,2,前向传播·应用题,应用情境：某项目需要根据“前向传播”做出实际决策。下列做法或判断中，哪一项最符合该知识点？,"[""直接删除参数"",""跳过训练"",""计算损失""]",2,计算损失,模型预测与真实标签比较后得到损失。（独立的应用题版本 v2）,单选正确得 1 分,深度学习·神经网络基础·前向传播；开发者维护独立应用题版本 v2,2,approved
dl-q03-v3,dl-001,dl-base-001,掌握,综合题,3,前向传播·综合题,综合判断：团队正在复盘一个模型方案。围绕“前向传播”，哪一项解释同时符合其定义与实际用途？,"[""跳过训练"",""计算损失"",""直接删除参数""]",1,计算损失,模型预测与真实标签比较后得到损失。（独立的综合题版本 v3）,单选正确得 1 分,深度学习·神经网络基础·前向传播；开发者维护独立综合题版本 v3,3,approved
dl-q03-v4,dl-001,dl-base-001,掌握,复测题,2,前向传播·复测题,无提示复测：不查看资料。请独立判断关于“前向传播”的下列说法，哪一项最准确？,"[""跳过训练"",""直接删除参数"",""计算损失""]",2,计算损失,模型预测与真实标签比较后得到损失。（独立的复测题版本 v4）,单选正确得 1 分,深度学习·神经网络基础·前向传播；开发者维护独立复测题版本 v4,4,approved
dl-q04-v2,dl-001,dl-base-001,掌握,应用题,2,反向传播·应用题,应用情境：某项目需要根据“反向传播”做出实际决策。下列做法或判断中，哪一项最符合该知识点？,"[""增加隐藏层数量"",""固定预测结果"",""计算参数的梯度""]",2,计算参数的梯度,梯度用于指导优化器更新参数。（独立的应用题版本 v2）,单选正确得 1 分,深度学习·神经网络基础·反向传播；开发者维护独立应用题版本 v2,2,approved
dl-q04-v3,dl-001,dl-base-001,掌握,综合题,3,反向传播·综合题,综合判断：团队正在复盘一个模型方案。围绕“反向传播”，哪一项解释同时符合其定义与实际用途？,"[""固定预测结果"",""计算参数的梯度"",""增加隐藏层数量""]",1,计算参数的梯度,梯度用于指导优化器更新参数。（独立的综合题版本 v3）,单选正确得 1 分,深度学习·神经网络基础·反向传播；开发者维护独立综合题版本 v3,3,approved
dl-q04-v4,dl-001,dl-base-001,掌握,复测题,2,反向传播·复测题,无提示复测：不查看资料。请独立判断关于“反向传播”的下列说法，哪一项最准确？,"[""固定预测结果"",""增加隐藏层数量"",""计算参数的梯度""]",2,计算参数的梯度,梯度用于指导优化器更新参数。（独立的复测题版本 v4）,单选正确得 1 分,深度学习·神经网络基础·反向传播；开发者维护独立复测题版本 v4,4,approved
dl-q05-v2,dl-001,dl-base-001,掌握,应用题,2,训练循环·应用题,应用情境：某项目需要根据“训练循环”做出实际决策。下列做法或判断中，哪一项最符合该知识点？,"[""参数更新→删除损失→停止"",""只做前向传播"",""前向传播→计算损失→反向传播→参数更新""]",2,前向传播→计算损失→反向传播→参数更新,训练循环通过这四步让模型逐渐减小损失。（独立的应用题版本 v2）,单选正确得 1 分,深度学习·神经网络基础·训练循环；开发者维护独立应用题版本 v2,2,approved
dl-q05-v3,dl-001,dl-base-001,掌握,综合题,3,训练循环·综合题,综合判断：团队正在复盘一个模型方案。围绕“训练循环”，哪一项解释同时符合其定义与实际用途？,"[""只做前向传播"",""前向传播→计算损失→反向传播→参数更新"",""参数更新→删除损失→停止""]",1,前向传播→计算损失→反向传播→参数更新,训练循环通过这四步让模型逐渐减小损失。（独立的综合题版本 v3）,单选正确得 1 分,深度学习·神经网络基础·训练循环；开发者维护独立综合题版本 v3,3,approved
dl-q05-v4,dl-001,dl-base-001,掌握,复测题,2,训练循环·复测题,无提示复测：不查看资料。请独立判断关于“训练循环”的下列说法，哪一项最准确？,"[""只做前向传播"",""参数更新→删除损失→停止"",""前向传播→计算损失→反向传播→参数更新""]",2,前向传播→计算损失→反向传播→参数更新,训练循环通过这四步让模型逐渐减小损失。（独立的复测题版本 v4）,单选正确得 1 分,深度学习·神经网络基础·训练循环；开发者维护独立复测题版本 v4,4,approved
dl-q06-v2,dl-001,dl-base-001,掌握,应用题,2,训练步骤·应用题,应用情境：某项目需要根据“训练步骤”做出实际决策。下列做法或判断中，哪一项最符合该知识点？,"[""直接删除模型参数"",""跳过反向传播并结束训练"",""计算预测与标签之间的损失""]",2,计算预测与标签之间的损失,损失为后续反向传播和参数更新提供优化目标。（独立的应用题版本 v2）,单选正确得 1 分,动手学深度学习·线性网络·训练流程；开发者维护独立应用题版本 v2,2,approved
dl-q06-v3,dl-001,dl-base-001,掌握,综合题,3,训练步骤·综合题,综合判断：团队正在复盘一个模型方案。围绕“训练步骤”，哪一项解释同时符合其定义与实际用途？,"[""跳过反向传播并结束训练"",""计算预测与标签之间的损失"",""直接删除模型参数""]",1,计算预测与标签之间的损失,损失为后续反向传播和参数更新提供优化目标。（独立的综合题版本 v3）,单选正确得 1 分,动手学深度学习·线性网络·训练流程；开发者维护独立综合题版本 v3,3,approved
dl-q06-v4,dl-001,dl-base-001,掌握,复测题,2,训练步骤·复测题,无提示复测：不查看资料。请独立判断关于“训练步骤”的下列说法，哪一项最准确？,"[""跳过反向传播并结束训练"",""直接删除模型参数"",""计算预测与标签之间的损失""]",2,计算预测与标签之间的损失,损失为后续反向传播和参数更新提供优化目标。（独立的复测题版本 v4）,单选正确得 1 分,动手学深度学习·线性网络·训练流程；开发者维护独立复测题版本 v4,4,approved
ml-q07-v2,ml-001,rl-001,掌握,应用题,2,学习任务类型·应用题,应用情境：某项目需要根据“学习任务类型”做出实际决策。下列做法或判断中，哪一项最符合该知识点？,"[""聚类"",""排序"",""回归""]",2,回归,房价是连续数值目标，属于回归任务。（独立的应用题版本 v2）,单选正确得 1 分,Open Machine Learning Book·机器学习概览；开发者维护独立应用题版本 v2,2,approved
ml-q07-v3,ml-001,rl-001,掌握,综合题,3,学习任务类型·综合题,综合判断：团队正在复盘一个模型方案。围绕“学习任务类型”，哪一项解释同时符合其定义与实际用途？,"[""排序"",""回归"",""聚类""]",1,回归,房价是连续数值目标，属于回归任务。（独立的综合题版本 v3）,单选正确得 1 分,Open Machine Learning Book·机器学习概览；开发者维护独立综合题版本 v3,3,approved
ml-q07-v4,ml-001,rl-001,掌握,复测题,2,学习任务类型·复测题,无提示复测：不查看资料。请独立判断关于“学习任务类型”的下列说法，哪一项最准确？,"[""排序"",""聚类"",""回归""]",2,回归,房价是连续数值目标，属于回归任务。（独立的复测题版本 v4）,单选正确得 1 分,Open Machine Learning Book·机器学习概览；开发者维护独立复测题版本 v4,4,approved
