question_id,content_unit_id,source_locator,status
dl-q08-v4,dl-unit-002,概率,active
dl-q09-v2,dl-unit-003,线性回归,active
dl-q09-v3,dl-unit-003,线性回归,active
dl-q09-v4,dl-unit-003,线性回归,active
dl-q10-v2,dl-unit-004,Softmax回归,active
dl-q10-v3,dl-unit-004,Softmax回归,active
dl-q10-v4,dl-unit-004,Softmax回归,active
dl-q11-v2,dl-unit-005,多层感知机,active
dl-q11-v3,dl-unit-005,多层感知机,active
dl-q11-v4,dl-unit-005,多层感知机,active
dl-q12-v2,dl-unit-006,模型选择与过拟合,active
dl-q12-v3,dl-unit-006,模型选择与过拟合,active
dl-q12-v4,dl-unit-006,模型选择与过拟合,active
dl-q13-v2,dl-unit-007,数值稳定性与初始化,active
dl-q13-v3,dl-unit-007,数值稳定性与初始化,active
dl-q13-v4,dl-unit-007,数值稳定性与初始化,active
dl-q14-v2,dl-unit-009,卷积层,active
dl-q14-v3,dl-unit-009,卷积层,active
dl-q14-v4,dl-unit-009,卷积层,active
dl-q15-v2,dl-unit-010,填充和步幅,active
dl-q15-v3,dl-unit-010,填充和步幅,active
dl-q15-v4,dl-unit-010,填充和步幅,active
dl-q16-v2,dl-unit-011,池化,active
dl-q16-v3,dl-unit-011,池化,active
dl-q16-v4,dl-unit-011,池化,active
dl-q17-v2,dl-unit-012,序列模型,active
dl-q17-v3,dl-unit-012,序列模型,active
dl-q17-v4,dl-unit-012,序列模型,active
dl-q18-v2,dl-unit-013,循环神经网络,active
dl-q18-v3,dl-unit-013,循环神经网络,active
dl-q18-v4,dl-unit-013,循环神经网络,active
