question_id,ai_semantic_assessment,ai_answer_check,ai_distractor_check,ai_difficulty_assessment,ai_source_check,ai_recommendation,ai_reason,ai_confidence,human_decision,human_reviewer,human_reviewed_at,status
dl-q06,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,训练流程的下一步判断可用,low,,,,ai_pre_assessed_pending_human
ml-q07,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,回归任务识别可用,low,,,,ai_pre_assessed_pending_human
ml-q08,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,学习范式概述可用,low,,,,ai_pre_assessed_pending_human
ml-q09,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,连续目标与回归对应可用,low,,,,ai_pre_assessed_pending_human
ml-q10,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,仅覆盖代入计算；应补拟合误差和参数解释,low,,,,ai_pre_assessed_pending_human
ml-q11,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,应补 sigmoid 概率和阈值决策案例,low,,,,ai_pre_assessed_pending_human
ml-q12,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留,题目确为MSE数值计算，正确答案和讲解一致；后续应补损失对优化的影响题。,medium,,,,ai_pre_assessed_pending_human
ml-q13,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,应补一次梯度更新计算和学习率影响,low,,,,ai_pre_assessed_pending_human
ml-q14,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,分类任务识别可用,low,,,,ai_pre_assessed_pending_human
ml-q15,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,应补聚类目标与距离度量案例,low,,,,ai_pre_assessed_pending_human
ml-q16,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,应补 bagging 与 boosting 的比较案例,low,,,,ai_pre_assessed_pending_human
ml-q17,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-偏高,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留,验证集用于选超参数、测试集不应反复调参的表述正确；可作为模型选择的高质量基础题。,medium,,,,ai_pre_assessed_pending_human
dl-q07,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,已改为明确的矩阵乘向量计算题,low,,,,ai_pre_assessed_pending_human
dl-q08,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,应补概率计算或条件概率应用,low,,,,ai_pre_assessed_pending_human
dl-q09,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,应补损失最小化和参数更新案例,low,,,,ai_pre_assessed_pending_human
dl-q10,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,应补 Softmax 概率归一化计算,low,,,,ai_pre_assessed_pending_human
dl-q11,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,应补隐藏层形状或非线性表达反例,low,,,,ai_pre_assessed_pending_human
dl-q12,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,应补训练验证曲线的模型选择案例,low,,,,ai_pre_assessed_pending_human
dl-q13,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,应补梯度爆炸消失的诊断与初始化实验,low,,,,ai_pre_assessed_pending_human
dl-q14,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,应补输出形状或卷积核参数量计算,low,,,,ai_pre_assessed_pending_human
dl-q15,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留为基本了解题；扩题时增加具体尺寸计算,步幅增大通常降低输出空间尺寸的判断正确；虽然题型名为计算题，但当前未要求具体数值计算。,medium,,,,ai_pre_assessed_pending_human
dl-q16,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,应补池化窗口计算或与卷积的比较,low,,,,ai_pre_assessed_pending_human
dl-q17,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,应补时间窗或序列预测情境题,low,,,,ai_pre_assessed_pending_human
dl-q18,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,应补隐藏状态递推或梯度问题案例,low,,,,ai_pre_assessed_pending_human
py-q01,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,列表与循环的基础语义可用，需人工抽检干扰项,low,,,,ai_pre_assessed_pending_human
qt-q01,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,Q表条目的基础定义可用，需人工抽检术语与干扰项,low,,,,ai_pre_assessed_pending_human
