"mastery_task_id","title","grading_type","response_schema_json","answer_key_json","scoring_rules_json","max_score","status","content_review_status","authoring_note"
"mt-ml-logistic","二分类阈值错误","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""positive_rule"",""error_type""],""fields"":[{""id"":""positive_rule"",""label"":""正确的正类判断"",""type"":""enum"",""options"":[""p >= 0.5"",""p < 0.5"",""p = 0""]},{""id"":""error_type"",""label"":""原规则的问题"",""type"":""enum"",""options"":[""labels_reversed"",""threshold_too_high"",""probability_not_normalized""]}]}","{""positive_rule"":{""value"":""p >= 0.5""},""error_type"":{""value"":""labels_reversed""}}","[{""field"":""positive_rule"",""points"":2},{""field"":""error_type"",""points"":2}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-ml-loss","均方误差推导","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""squared_error_1"",""squared_error_2"",""mse"",""training_role""],""fields"":[{""id"":""squared_error_1"",""label"":""第一个样本平方误差"",""type"":""number"",""options"":[]},{""id"":""squared_error_2"",""label"":""第二个样本平方误差"",""type"":""number"",""options"":[]},{""id"":""mse"",""label"":""均方误差"",""type"":""number"",""options"":[]},{""id"":""training_role"",""label"":""损失用于训练的作用"",""type"":""enum"",""options"":[""optimization_signal"",""data_label"",""network_layer""]}]}","{""squared_error_1"":{""value"":1,""tolerance"":0.0001},""squared_error_2"":{""value"":4,""tolerance"":0.0001},""mse"":{""value"":2.5,""tolerance"":0.0001},""training_role"":{""value"":""optimization_signal""}}","[{""field"":""squared_error_1"",""points"":1},{""field"":""squared_error_2"",""points"":1},{""field"":""mse"",""points"":1},{""field"":""training_role"",""points"":1}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-ml-gradient","梯度更新方向","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""new_parameter"",""direction""],""fields"":[{""id"":""new_parameter"",""label"":""更新后的参数"",""type"":""number"",""options"":[]},{""id"":""direction"",""label"":""梯度下降方向"",""type"":""enum"",""options"":[""subtract_gradient"",""add_gradient"",""multiply_gradient""]}]}","{""new_parameter"":{""value"":3.4,""tolerance"":0.0001},""direction"":{""value"":""subtract_gradient""}}","[{""field"":""new_parameter"",""points"":2},{""field"":""direction"",""points"":2}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-ml-classification","医疗筛查指标选择","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""metric"",""meaning""],""fields"":[{""id"":""metric"",""label"":""应优先关注的指标"",""type"":""enum"",""options"":[""precision"",""recall"",""accuracy""]},{""id"":""meaning"",""label"":""该指标的含义"",""type"":""enum"",""options"":[""true_positive_rate"",""predicted_positive_precision"",""true_negative_rate""]}]}","{""metric"":{""value"":""recall""},""meaning"":{""value"":""true_positive_rate""}}","[{""field"":""metric"",""points"":2},{""field"":""meaning"",""points"":2}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-ml-clustering","用户聚类解释","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""features"",""cluster_meaning""],""fields"":[{""id"":""features"",""label"":""选择两个可量化特征"",""type"":""set"",""options"":[""purchase_frequency"",""average_order_value""]},{""id"":""cluster_meaning"",""label"":""聚类解释"",""type"":""enum"",""options"":[""behavior_segment"",""ground_truth_label"",""random_group""]}]}","{""features"":{""values"":[""purchase_frequency"",""average_order_value""],""minCorrect"":2},""cluster_meaning"":{""value"":""behavior_segment""}}","[{""field"":""features"",""points"":2},{""field"":""cluster_meaning"",""points"":2}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-ml-ensemble","Bagging 与 Boosting 选择","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""bagging"",""boosting""],""fields"":[{""id"":""bagging"",""label"":""Bagging 训练方式"",""type"":""enum"",""options"":[""parallel_bootstrap"",""sequential_hard_examples"",""single_model""]},{""id"":""boosting"",""label"":""Boosting 训练方式"",""type"":""enum"",""options"":[""parallel_bootstrap"",""sequential_hard_examples"",""single_model""]}]}","{""bagging"":{""value"":""parallel_bootstrap""},""boosting"":{""value"":""sequential_hard_examples""}}","[{""field"":""bagging"",""points"":2},{""field"":""boosting"",""points"":2}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-ml-model-selection","验证曲线决策","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""selected_model"",""reason""],""fields"":[{""id"":""selected_model"",""label"":""应选择的模型"",""type"":""enum"",""options"":[""model_a"",""model_b""]},{""id"":""reason"",""label"":""选择依据"",""type"":""enum"",""options"":[""higher_validation_lower_gap"",""higher_training_only"",""more_parameters""]}]}","{""selected_model"":{""value"":""model_b""},""reason"":{""value"":""higher_validation_lower_gap""}}","[{""field"":""selected_model"",""points"":2},{""field"":""reason"",""points"":2}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-dl-linear-algebra","矩阵形状与乘法","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""shape"",""row_1_result"",""row_2_result"",""condition""],""fields"":[{""id"":""shape"",""label"":""2×3 乘以 3×1 的形状"",""type"":""enum"",""options"":[""2x1"",""3x3"",""1x2""]},{""id"":""row_1_result"",""label"":""示例 A=[[1,2,3],[4,5,6]], v=[1,0,-1] 的第一项"",""type"":""number"",""options"":[]},{""id"":""row_2_result"",""label"":""同一示例的第二项"",""type"":""number"",""options"":[]},{""id"":""condition"",""label"":""矩阵相乘条件"",""type"":""enum"",""options"":[""inner_dimensions_match"",""outer_dimensions_match"",""all_dimensions_equal""]}]}","{""shape"":{""value"":""2x1""},""row_1_result"":{""value"":-2,""tolerance"":0.0001},""row_2_result"":{""value"":-2,""tolerance"":0.0001},""condition"":{""value"":""inner_dimensions_match""}}","[{""field"":""shape"",""points"":1},{""field"":""row_1_result"",""points"":1},{""field"":""row_2_result"",""points"":1},{""field"":""condition"",""points"":1}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-dl-probability","分类概率解释","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""probability_sum"",""predicted_class"",""certainty""],""fields"":[{""id"":""probability_sum"",""label"":""三个输出的总和"",""type"":""number"",""options"":[]},{""id"":""predicted_class"",""label"":""最高概率的类别"",""type"":""enum"",""options"":[""class_1"",""class_2"",""class_3""]},{""id"":""certainty"",""label"":""最高概率的含义"",""type"":""enum"",""options"":[""not_guaranteed_correct"",""guaranteed_correct"",""no_prediction""]}]}","{""probability_sum"":{""value"":1,""tolerance"":0.0001},""predicted_class"":{""value"":""class_1""},""certainty"":{""value"":""not_guaranteed_correct""}}","[{""field"":""probability_sum"",""points"":1},{""field"":""predicted_class"",""points"":1},{""field"":""certainty"",""points"":2}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-dl-linear-regression","线性网络训练步骤","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""training_order""],""fields"":[{""id"":""training_order"",""label"":""训练步骤顺序"",""type"":""ordered"",""options"":[""zero_grad"",""forward"",""loss"",""backward"",""step""]}]}","{""training_order"":{""values"":[""zero_grad"",""forward"",""loss"",""backward"",""step""]}}","[{""field"":""training_order"",""points"":4}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-dl-softmax","Softmax 概率检查","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""sum"",""valid"",""constraints""],""fields"":[{""id"":""sum"",""label"":""给定输出的总和"",""type"":""number"",""options"":[]},{""id"":""valid"",""label"":""该输出是否有效"",""type"":""enum"",""options"":[""valid"",""invalid""]},{""id"":""constraints"",""label"":""Softmax 的两个约束"",""type"":""set"",""options"":[""nonnegative"",""sum_to_one""]}]}","{""sum"":{""value"":1.5,""tolerance"":0.0001},""valid"":{""value"":""invalid""},""constraints"":{""values"":[""nonnegative"",""sum_to_one""],""minCorrect"":2}}","[{""field"":""sum"",""points"":1},{""field"":""valid"",""points"":1},{""field"":""constraints"",""points"":2}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-dl-mlp","MLP 结构设计","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""input_dim"",""hidden_dim"",""activation"",""output_dim""],""fields"":[{""id"":""input_dim"",""label"":""输入维度"",""type"":""number"",""options"":[]},{""id"":""hidden_dim"",""label"":""固定隐藏层维度"",""type"":""number"",""options"":[]},{""id"":""activation"",""label"":""隐藏层激活函数"",""type"":""enum"",""options"":[""relu"",""identity"",""softmax""]},{""id"":""output_dim"",""label"":""输出维度"",""type"":""number"",""options"":[]}]}","{""input_dim"":{""value"":4,""tolerance"":0.0001},""hidden_dim"":{""value"":8,""tolerance"":0.0001},""activation"":{""value"":""relu""},""output_dim"":{""value"":3,""tolerance"":0.0001}}","[{""field"":""input_dim"",""points"":1},{""field"":""hidden_dim"",""points"":1},{""field"":""activation"",""points"":1},{""field"":""output_dim"",""points"":1}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-dl-generalization","过拟合补救方案","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""actions"",""goal""],""fields"":[{""id"":""actions"",""label"":""选择两项处理"",""type"":""set"",""options"":[""weight_decay"",""early_stopping""]},{""id"":""goal"",""label"":""这些处理的目标"",""type"":""enum"",""options"":[""improve_generalization"",""memorize_training_data"",""increase_label_count""]}]}","{""actions"":{""values"":[""weight_decay"",""early_stopping""],""minCorrect"":2},""goal"":{""value"":""improve_generalization""}}","[{""field"":""actions"",""points"":2},{""field"":""goal"",""points"":2}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-dl-initialization","初始化对比实验","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""signals"",""criterion""],""fields"":[{""id"":""signals"",""label"":""记录两个信号"",""type"":""set"",""options"":[""training_loss"",""gradient_norm""]},{""id"":""criterion"",""label"":""判断标准"",""type"":""enum"",""options"":[""stable_loss_and_gradients"",""highest_initial_loss"",""largest_parameter_count""]}]}","{""signals"":{""values"":[""training_loss"",""gradient_norm""],""minCorrect"":2},""criterion"":{""value"":""stable_loss_and_gradients""}}","[{""field"":""signals"",""points"":2},{""field"":""criterion"",""points"":2}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-dl-convolution","卷积层配置","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""in_channels"",""out_channels"",""kernel_size"",""channel_meaning""],""fields"":[{""id"":""in_channels"",""label"":""输入通道数"",""type"":""number"",""options"":[]},{""id"":""out_channels"",""label"":""输出通道数"",""type"":""number"",""options"":[]},{""id"":""kernel_size"",""label"":""卷积核尺寸"",""type"":""number"",""options"":[]},{""id"":""channel_meaning"",""label"":""输出通道含义"",""type"":""enum"",""options"":[""feature_maps"",""input_pixels"",""class_labels""]}]}","{""in_channels"":{""value"":3,""tolerance"":0.0001},""out_channels"":{""value"":16,""tolerance"":0.0001},""kernel_size"":{""value"":3,""tolerance"":0.0001},""channel_meaning"":{""value"":""feature_maps""}}","[{""field"":""in_channels"",""points"":1},{""field"":""out_channels"",""points"":1},{""field"":""kernel_size"",""points"":1},{""field"":""channel_meaning"",""points"":1}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-dl-padding","卷积尺寸错误","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""padding"",""output_size"",""formula_condition""],""fields"":[{""id"":""padding"",""label"":""最小填充"",""type"":""number"",""options"":[]},{""id"":""output_size"",""label"":""输出边长"",""type"":""number"",""options"":[]},{""id"":""formula_condition"",""label"":""保持尺寸的条件"",""type"":""enum"",""options"":[""padding_one_stride_one_kernel_three"",""padding_zero_stride_one_kernel_three"",""padding_two_stride_two_kernel_three""]}]}","{""padding"":{""value"":1,""tolerance"":0.0001},""output_size"":{""value"":32,""tolerance"":0.0001},""formula_condition"":{""value"":""padding_one_stride_one_kernel_three""}}","[{""field"":""padding"",""points"":2},{""field"":""output_size"",""points"":1},{""field"":""formula_condition"",""points"":1}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-dl-pooling","池化选择","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""max_value"",""average_value"",""max_rule"",""avg_rule""],""fields"":[{""id"":""max_value"",""label"":""窗口 [[1,4],[2,3]] 的最大池化"",""type"":""number"",""options"":[]},{""id"":""average_value"",""label"":""同一窗口的平均池化"",""type"":""number"",""options"":[]},{""id"":""max_rule"",""label"":""最大池化规则"",""type"":""enum"",""options"":[""select_maximum"",""compute_mean"",""select_minimum""]},{""id"":""avg_rule"",""label"":""平均池化规则"",""type"":""enum"",""options"":[""select_maximum"",""compute_mean"",""select_minimum""]}]}","{""max_value"":{""value"":4,""tolerance"":0.0001},""average_value"":{""value"":2.5,""tolerance"":0.0001},""max_rule"":{""value"":""select_maximum""},""avg_rule"":{""value"":""compute_mean""}}","[{""field"":""max_value"",""points"":1},{""field"":""average_value"",""points"":1},{""field"":""max_rule"",""points"":1},{""field"":""avg_rule"",""points"":1}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-dl-sequence","销量时间窗","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""input_window"",""target"",""shuffle""],""fields"":[{""id"":""input_window"",""label"":""输入窗口"",""type"":""enum"",""options"":[""day_1_to_day_7"",""day_8_only"",""random_7_days""]},{""id"":""target"",""label"":""预测目标"",""type"":""enum"",""options"":[""day_8"",""day_1"",""average_all_days""]},{""id"":""shuffle"",""label"":""是否可随意打乱时间"",""type"":""enum"",""options"":[""yes"",""no""]}]}","{""input_window"":{""value"":""day_1_to_day_7""},""target"":{""value"":""day_8""},""shuffle"":{""value"":""no""}}","[{""field"":""input_window"",""points"":1},{""field"":""target"",""points"":1},{""field"":""shuffle"",""points"":2}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-dl-rnn","RNN 隐藏状态循环","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""update_formula"",""state_flow""],""fields"":[{""id"":""update_formula"",""label"":""隐藏状态更新公式"",""type"":""text"",""options"":[]},{""id"":""state_flow"",""label"":""下一时间步使用什么状态"",""type"":""enum"",""options"":[""new_hidden_state"",""initial_hidden_state"",""output_label""]}]}","{""update_formula"":{""value"":""h_t = tanh(W_xh*x_t + W_hh*h_prev + b)""},""state_flow"":{""value"":""new_hidden_state""}}","[{""field"":""update_formula"",""points"":2},{""field"":""state_flow"",""points"":2}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-dl-neuron","神经元前向计算","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""weighted_sum"",""pre_activation"",""operation_order""],""fields"":[{""id"":""weighted_sum"",""label"":""加权和"",""type"":""number"",""options"":[]},{""id"":""pre_activation"",""label"":""加偏置后的输出"",""type"":""number"",""options"":[]},{""id"":""operation_order"",""label"":""正确计算顺序"",""type"":""enum"",""options"":[""weighted_sum_then_bias"",""bias_then_multiply"",""activation_then_sum""]}]}","{""weighted_sum"":{""value"":0,""tolerance"":0.0001},""pre_activation"":{""value"":1,""tolerance"":0.0001},""operation_order"":{""value"":""weighted_sum_then_bias""}}","[{""field"":""weighted_sum"",""points"":1},{""field"":""pre_activation"",""points"":2},{""field"":""operation_order"",""points"":1}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-dl-activation","激活函数必要性","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""linear_stack"",""relu""],""fields"":[{""id"":""linear_stack"",""label"":""连续线性层的表达能力"",""type"":""enum"",""options"":[""still_linear"",""automatically_nonlinear"",""random""]},{""id"":""relu"",""label"":""ReLU 定义"",""type"":""enum"",""options"":[""max_0_x"",""1_over_1_plus_exp_neg_x"",""x_squared""]}]}","{""linear_stack"":{""value"":""still_linear""},""relu"":{""value"":""max_0_x""}}","[{""field"":""linear_stack"",""points"":2},{""field"":""relu"",""points"":2}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-dl-forward","前向损失顺序","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""order"",""reason""],""fields"":[{""id"":""order"",""label"":""正确顺序"",""type"":""ordered"",""options"":[""forward"",""loss"",""backward""]},{""id"":""reason"",""label"":""为什么不能先反向"",""type"":""enum"",""options"":[""loss_required_for_gradients"",""data_required_for_labels"",""optimizer_required_for_input""]}]}","{""order"":{""values"":[""forward"",""loss"",""backward""]},""reason"":{""value"":""loss_required_for_gradients""}}","[{""field"":""order"",""points"":3},{""field"":""reason"",""points"":1}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-dl-loss","平方损失计算","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""squared_loss"",""role""],""fields"":[{""id"":""squared_loss"",""label"":""平方损失"",""type"":""number"",""options"":[]},{""id"":""role"",""label"":""损失的作用"",""type"":""enum"",""options"":[""optimization_signal"",""network_output"",""data_augmentation""]}]}","{""squared_loss"":{""value"":9,""tolerance"":0.0001},""role"":{""value"":""optimization_signal""}}","[{""field"":""squared_loss"",""points"":2},{""field"":""role"",""points"":2}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
