question_id,option_index,option_text,knowledge_point_id,ai_suggested_misconception_code,ai_suggested_misconception_label,ai_suggested_remediation_knowledge_point_id,ai_confidence,human_decision,human_reviewer,human_reviewed_at,status
dl-q03,1,直接删除参数,dl-loss,misread-dl-q03-1,将“直接删除参数”误认为“计算损失”，需核实这是否反映稳定的概念误解。,dl-loss,low,,,,ai_pre_assessed_pending_human
dl-q03,2,跳过训练,dl-loss,misread-dl-q03-2,将“跳过训练”误认为“计算损失”，需核实这是否反映稳定的概念误解。,dl-loss,low,,,,ai_pre_assessed_pending_human
dl-q04,1,增加隐藏层数量,dl-backprop,misread-dl-q04-1,将“增加隐藏层数量”误认为“计算参数梯度”，需核实这是否反映稳定的概念误解。,dl-backprop,low,,,,ai_pre_assessed_pending_human
dl-q04,2,固定预测结果,dl-backprop,misread-dl-q04-2,将“固定预测结果”误认为“计算参数梯度”，需核实这是否反映稳定的概念误解。,dl-backprop,low,,,,ai_pre_assessed_pending_human
dl-q05,0,"`loss_fn(y_hat,y)`",dl-training,misread-dl-q05-0,"将“`loss_fn(y_hat,y)`”误认为“`optimizer.step()`”，需核实这是否反映稳定的概念误解。",dl-training,low,,,,ai_pre_assessed_pending_human
dl-q05,1,`loss.backward()`,dl-training,misread-dl-q05-1,将“`loss.backward()`”误认为“`optimizer.step()`”，需核实这是否反映稳定的概念误解。,dl-training,low,,,,ai_pre_assessed_pending_human
dl-q06,1,直接删除模型参数,dl-training,misread-dl-q06-1,将“直接删除模型参数”误认为“计算预测与标签之间的损失”，需核实这是否反映稳定的概念误解。,dl-training,low,,,,ai_pre_assessed_pending_human
dl-q06,2,跳过反向传播并结束训练,dl-training,misread-dl-q06-2,将“跳过反向传播并结束训练”误认为“计算预测与标签之间的损失”，需核实这是否反映稳定的概念误解。,dl-training,low,,,,ai_pre_assessed_pending_human
ml-q07,1,聚类,ml-learning-task,misread-ml-q07-1,将“聚类”误认为“回归”，需核实这是否反映稳定的概念误解。,ml-learning-task,low,,,,ai_pre_assessed_pending_human
ml-q07,2,排序,ml-learning-task,misread-ml-q07-2,将“排序”误认为“回归”，需核实这是否反映稳定的概念误解。,ml-learning-task,low,,,,ai_pre_assessed_pending_human
ml-q08,1,固定参数不再变化,ml-learning-paradigm,misread-ml-q08-1,将“固定参数不再变化”误认为“根据数据调整模型参数”，需核实这是否反映稳定的概念误解。,ml-learning-paradigm,low,,,,ai_pre_assessed_pending_human
ml-q08,2,只记住每个训练样本,ml-learning-paradigm,misread-ml-q08-2,将“只记住每个训练样本”误认为“根据数据调整模型参数”，需核实这是否反映稳定的概念误解。,ml-learning-paradigm,low,,,,ai_pre_assessed_pending_human
ml-q09,1,邮件是否垃圾,ml-regression,misread-ml-q09-1,将“邮件是否垃圾”误认为“明天的气温”，需核实这是否反映稳定的概念误解。,ml-regression,low,,,,ai_pre_assessed_pending_human
ml-q09,2,用户属于哪个聚类,ml-regression,misread-ml-q09-2,将“用户属于哪个聚类”误认为“明天的气温”，需核实这是否反映稳定的概念误解。,ml-regression,low,,,,ai_pre_assessed_pending_human
ml-q10,1,6,ml-linear-regression,misread-ml-q10-1,将“6”误认为“7”，需核实这是否反映稳定的概念误解。,ml-linear-regression,low,,,,ai_pre_assessed_pending_human
ml-q10,2,5,ml-linear-regression,misread-ml-q10-2,将“5”误认为“7”，需核实这是否反映稳定的概念误解。,ml-linear-regression,low,,,,ai_pre_assessed_pending_human
ml-q11,1,任意连续售价,ml-logistic-regression,misread-ml-q11-1,将“任意连续售价”误认为“属于正类的概率”，需核实这是否反映稳定的概念误解。,ml-logistic-regression,low,,,,ai_pre_assessed_pending_human
ml-q11,2,聚类中心编号,ml-logistic-regression,misread-ml-q11-2,将“聚类中心编号”误认为“属于正类的概率”，需核实这是否反映稳定的概念误解。,ml-logistic-regression,low,,,,ai_pre_assessed_pending_human
ml-q12,0,2.5,ml-loss-function,misread-ml-q12-0,将“2.5”误认为“5”，需核实这是否反映稳定的概念误解。,ml-loss-function,low,,,,ai_pre_assessed_pending_human
ml-q12,2,10,ml-loss-function,misread-ml-q12-2,将“10”误认为“5”，需核实这是否反映稳定的概念误解。,ml-loss-function,low,,,,ai_pre_assessed_pending_human
ml-q13,1,正梯度方向,ml-gradient-descent,misread-ml-q13-1,将“正梯度方向”误认为“负梯度方向”，需核实这是否反映稳定的概念误解。,ml-gradient-descent,low,,,,ai_pre_assessed_pending_human
ml-q13,2,随机固定方向,ml-gradient-descent,misread-ml-q13-2,将“随机固定方向”误认为“负梯度方向”，需核实这是否反映稳定的概念误解。,ml-gradient-descent,low,,,,ai_pre_assessed_pending_human
ml-q14,1,回归,ml-classification,misread-ml-q14-1,将“回归”误认为“分类”，需核实这是否反映稳定的概念误解。,ml-classification,low,,,,ai_pre_assessed_pending_human
ml-q14,2,降维,ml-classification,misread-ml-q14-2,将“降维”误认为“分类”，需核实这是否反映稳定的概念误解。,ml-classification,low,,,,ai_pre_assessed_pending_human
ml-q15,1,聚类必须预测连续值,ml-clustering,misread-ml-q15-1,将“聚类必须预测连续值”误认为“聚类通常没有预先给定的标签”，需核实这是否反映稳定的概念误解。,ml-clustering,low,,,,ai_pre_assessed_pending_human
ml-q15,2,聚类不使用任何数据,ml-clustering,misread-ml-q15-2,将“聚类不使用任何数据”误认为“聚类通常没有预先给定的标签”，需核实这是否反映稳定的概念误解。,ml-clustering,low,,,,ai_pre_assessed_pending_human
ml-q16,1,只保留一个样本,ml-ensemble,misread-ml-q16-1,将“只保留一个样本”误认为“组合多个模型的预测”，需核实这是否反映稳定的概念误解。,ml-ensemble,low,,,,ai_pre_assessed_pending_human
ml-q16,2,删除所有弱模型数据,ml-ensemble,misread-ml-q16-2,将“删除所有弱模型数据”误认为“组合多个模型的预测”，需核实这是否反映稳定的概念误解。,ml-ensemble,low,,,,ai_pre_assessed_pending_human
ml-q17,1,训练集表现,ml-model-selection,misread-ml-q17-1,将“训练集表现”误认为“验证集表现”，需核实这是否反映稳定的概念误解。,ml-model-selection,low,,,,ai_pre_assessed_pending_human
ml-q17,2,最终测试集反复调参,ml-model-selection,misread-ml-q17-2,将“最终测试集反复调参”误认为“验证集表现”，需核实这是否反映稳定的概念误解。,ml-model-selection,low,,,,ai_pre_assessed_pending_human
dl-q07,1,"[2,4]",dl-linear-algebra,misread-dl-q07-1,"将“[2,4]”误认为“[1,3]”，需核实这是否反映稳定的概念误解。",dl-linear-algebra,low,,,,ai_pre_assessed_pending_human
dl-q07,2,"[3,7]",dl-linear-algebra,misread-dl-q07-2,"将“[3,7]”误认为“[1,3]”，需核实这是否反映稳定的概念误解。",dl-linear-algebra,low,,,,ai_pre_assessed_pending_human
dl-q08,1,模型固定层数,dl-probability,misread-dl-q08-1,将“模型固定层数”误认为“随机变量各可能取值的规律”，需核实这是否反映稳定的概念误解。,dl-probability,low,,,,ai_pre_assessed_pending_human
dl-q08,2,训练轮数,dl-probability,misread-dl-q08-2,将“训练轮数”误认为“随机变量各可能取值的规律”，需核实这是否反映稳定的概念误解。,dl-probability,low,,,,ai_pre_assessed_pending_human
dl-q09,1,训练数据的行数,dl-linear-regression,misread-dl-q09-1,将“训练数据的行数”误认为“预测与真实值之间的损失”，需核实这是否反映稳定的概念误解。,dl-linear-regression,low,,,,ai_pre_assessed_pending_human
dl-q09,2,输入特征的名称数,dl-linear-regression,misread-dl-q09-2,将“输入特征的名称数”误认为“预测与真实值之间的损失”，需核实这是否反映稳定的概念误解。,dl-linear-regression,low,,,,ai_pre_assessed_pending_human
dl-q10,1,单个连续房价,dl-softmax,misread-dl-q10-1,将“单个连续房价”误认为“多个互斥类别的概率”，需核实这是否反映稳定的概念误解。,dl-softmax,low,,,,ai_pre_assessed_pending_human
dl-q10,2,无标签聚类中心,dl-softmax,misread-dl-q10-2,将“无标签聚类中心”误认为“多个互斥类别的概率”，需核实这是否反映稳定的概念误解。,dl-softmax,low,,,,ai_pre_assessed_pending_human
dl-q11,1,取消所有参数,dl-mlp,misread-dl-q11-1,将“取消所有参数”误认为“表示非线性关系”，需核实这是否反映稳定的概念误解。,dl-mlp,low,,,,ai_pre_assessed_pending_human
dl-q11,2,避免使用数据,dl-mlp,misread-dl-q11-2,将“避免使用数据”误认为“表示非线性关系”，需核实这是否反映稳定的概念误解。,dl-mlp,low,,,,ai_pre_assessed_pending_human
dl-q12,1,模型一定无需调整,dl-generalization,misread-dl-q12-1,将“模型一定无需调整”误认为“可能发生过拟合”，需核实这是否反映稳定的概念误解。,dl-generalization,low,,,,ai_pre_assessed_pending_human
dl-q12,2,数据必然无标签,dl-generalization,misread-dl-q12-2,将“数据必然无标签”误认为“可能发生过拟合”，需核实这是否反映稳定的概念误解。,dl-generalization,low,,,,ai_pre_assessed_pending_human
dl-q13,1,自动获得更多标签,dl-initialization,misread-dl-q13-1,将“自动获得更多标签”误认为“梯度过大或过小”，需核实这是否反映稳定的概念误解。,dl-initialization,low,,,,ai_pre_assessed_pending_human
dl-q13,2,无需训练,dl-initialization,misread-dl-q13-2,将“无需训练”误认为“梯度过大或过小”，需核实这是否反映稳定的概念误解。,dl-initialization,low,,,,ai_pre_assessed_pending_human
dl-q14,1,每个像素必须一套完全独立参数,dl-convolution,misread-dl-q14-1,将“每个像素必须一套完全独立参数”误认为“同一卷积核可在不同位置使用”，需核实这是否反映稳定的概念误解。,dl-convolution,low,,,,ai_pre_assessed_pending_human
dl-q14,2,不再需要输入,dl-convolution,misread-dl-q14-2,将“不再需要输入”误认为“同一卷积核可在不同位置使用”，需核实这是否反映稳定的概念误解。,dl-convolution,low,,,,ai_pre_assessed_pending_human
dl-q15,1,增加输入标签数,dl-padding-stride,misread-dl-q15-1,将“增加输入标签数”误认为“减小输出的空间尺寸”，需核实这是否反映稳定的概念误解。,dl-padding-stride,low,,,,ai_pre_assessed_pending_human
dl-q15,2,取消卷积核,dl-padding-stride,misread-dl-q15-2,将“取消卷积核”误认为“减小输出的空间尺寸”，需核实这是否反映稳定的概念误解。,dl-padding-stride,low,,,,ai_pre_assessed_pending_human
dl-q16,1,计算全部参数梯度,dl-pooling,misread-dl-q16-1,将“计算全部参数梯度”误认为“下采样并汇聚局部特征”，需核实这是否反映稳定的概念误解。,dl-pooling,low,,,,ai_pre_assessed_pending_human
dl-q16,2,产生类别标签,dl-pooling,misread-dl-q16-2,将“产生类别标签”误认为“下采样并汇聚局部特征”，需核实这是否反映稳定的概念误解。,dl-pooling,low,,,,ai_pre_assessed_pending_human
dl-q17,1,每个样本完全没有顺序,dl-sequence,misread-dl-q17-1,将“每个样本完全没有顺序”误认为“样本之间存在顺序或时间依赖”，需核实这是否反映稳定的概念误解。,dl-sequence,low,,,,ai_pre_assessed_pending_human
dl-q17,2,只能是图像,dl-sequence,misread-dl-q17-2,将“只能是图像”误认为“样本之间存在顺序或时间依赖”，需核实这是否反映稳定的概念误解。,dl-sequence,low,,,,ai_pre_assessed_pending_human
dl-q18,1,删除所有历史信息,dl-rnn,misread-dl-q18-1,将“删除所有历史信息”误认为“保留先前时间步的信息”，需核实这是否反映稳定的概念误解。,dl-rnn,low,,,,ai_pre_assessed_pending_human
dl-q18,2,固定输出类别数量,dl-rnn,misread-dl-q18-2,将“固定输出类别数量”误认为“保留先前时间步的信息”，需核实这是否反映稳定的概念误解。,dl-rnn,low,,,,ai_pre_assessed_pending_human
ml-q01-v2,0,γ 接近 0，例如 0.05,rl-discount,misread-ml-q01-v2-0,将“γ 接近 0，例如 0.05”误认为“γ 接近 1，例如 0.95”，需核实这是否反映稳定的概念误解。,rl-discount,low,,,,ai_pre_assessed_pending_human
ml-q01-v2,2,把 γ 设为负数,rl-discount,misread-ml-q01-v2-2,将“把 γ 设为负数”误认为“γ 接近 1，例如 0.95”，需核实这是否反映稳定的概念误解。,rl-discount,low,,,,ai_pre_assessed_pending_human
ml-q01-v3,0,2,rl-discount,misread-ml-q01-v3-0,将“2”误认为“3”，需核实这是否反映稳定的概念误解。,rl-discount,low,,,,ai_pre_assessed_pending_human
ml-q01-v3,2,5,rl-discount,misread-ml-q01-v3-2,将“5”误认为“3”，需核实这是否反映稳定的概念误解。,rl-discount,low,,,,ai_pre_assessed_pending_human
ml-q01-v4,0,很久以后的奖励,rl-discount,misread-ml-q01-v4-0,将“很久以后的奖励”误认为“即时奖励”，需核实这是否反映稳定的概念误解。,rl-discount,low,,,,ai_pre_assessed_pending_human
ml-q01-v4,2,两者权重完全不变,rl-discount,misread-ml-q01-v4-2,将“两者权重完全不变”误认为“即时奖励”，需核实这是否反映稳定的概念误解。,rl-discount,low,,,,ai_pre_assessed_pending_human
ml-q02-v2,0,回报只等于当前一步奖励,math-prob,misread-ml-q02-v2-0,将“回报只等于当前一步奖励”误认为“回报可以累计当前及未来奖励”，需核实这是否反映稳定的概念误解。,math-prob,low,,,,ai_pre_assessed_pending_human
ml-q02-v2,2,回报只由动作数量决定,math-prob,misread-ml-q02-v2-2,将“回报只由动作数量决定”误认为“回报可以累计当前及未来奖励”，需核实这是否反映稳定的概念误解。,math-prob,low,,,,ai_pre_assessed_pending_human
ml-q02-v3,1,5,math-prob,misread-ml-q02-v3-1,将“5”误认为“4.25”，需核实这是否反映稳定的概念误解。,math-prob,low,,,,ai_pre_assessed_pending_human
ml-q02-v3,2,6,math-prob,misread-ml-q02-v3-2,将“6”误认为“4.25”，需核实这是否反映稳定的概念误解。,math-prob,low,,,,ai_pre_assessed_pending_human
ml-q02-v4,1,下一轮训练的学习率,math-prob,misread-ml-q02-v4-1,将“下一轮训练的学习率”误认为“该步即时奖励”，需核实这是否反映稳定的概念误解。,math-prob,low,,,,ai_pre_assessed_pending_human
ml-q02-v4,2,网络隐藏层数,math-prob,misread-ml-q02-v4-2,将“网络隐藏层数”误认为“该步即时奖励”，需核实这是否反映稳定的概念误解。,math-prob,low,,,,ai_pre_assessed_pending_human
ml-q03-v2,1,训练轮数,rl-mdp,misread-ml-q03-v2-1,将“训练轮数”误认为“机器人当前位置”，需核实这是否反映稳定的概念误解。,rl-mdp,low,,,,ai_pre_assessed_pending_human
ml-q03-v2,2,神经网络层数,rl-mdp,misread-ml-q03-v2-2,将“神经网络层数”误认为“机器人当前位置”，需核实这是否反映稳定的概念误解。,rl-mdp,low,,,,ai_pre_assessed_pending_human
ml-q03-v3,1,乘客等待时间的负值,rl-mdp,misread-ml-q03-v3-1,将“乘客等待时间的负值”误认为“选择上行、下行或停留”，需核实这是否反映稳定的概念误解。,rl-mdp,low,,,,ai_pre_assessed_pending_human
ml-q03-v3,2,下一层的乘客数量,rl-mdp,misread-ml-q03-v3-2,将“下一层的乘客数量”误认为“选择上行、下行或停留”，需核实这是否反映稳定的概念误解。,rl-mdp,low,,,,ai_pre_assessed_pending_human
ml-q03-v4,1,模型参数总数,rl-mdp,misread-ml-q03-v4-1,将“模型参数总数”误认为“采取动作后到达下一状态的可能性”，需核实这是否反映稳定的概念误解。,rl-mdp,low,,,,ai_pre_assessed_pending_human
ml-q03-v4,2,每轮必定获得的固定奖励,rl-mdp,misread-ml-q03-v4-2,将“每轮必定获得的固定奖励”误认为“采取动作后到达下一状态的可能性”，需核实这是否反映稳定的概念误解。,rl-mdp,low,,,,ai_pre_assessed_pending_human
ml-q04-v2,1,必须使用深度神经网络,rl-bellman,misread-ml-q04-v2-1,将“必须使用深度神经网络”误认为“问题可分解为重叠子问题和递推关系”，需核实这是否反映稳定的概念误解。,rl-bellman,low,,,,ai_pre_assessed_pending_human
ml-q04-v2,2,所有奖励都相同,rl-bellman,misread-ml-q04-v2-2,将“所有奖励都相同”误认为“问题可分解为重叠子问题和递推关系”，需核实这是否反映稳定的概念误解。,rl-bellman,low,,,,ai_pre_assessed_pending_human
ml-q04-v3,0,4,rl-bellman,misread-ml-q04-v3-0,将“4”误认为“5”，需核实这是否反映稳定的概念误解。,rl-bellman,low,,,,ai_pre_assessed_pending_human
ml-q04-v3,2,8,rl-bellman,misread-ml-q04-v3-2,将“8”误认为“5”，需核实这是否反映稳定的概念误解。,rl-bellman,low,,,,ai_pre_assessed_pending_human
ml-q04-v4,1,数据文件的大小,rl-bellman,misread-ml-q04-v4-1,将“数据文件的大小”误认为“下一状态的价值估计”，需核实这是否反映稳定的概念误解。,rl-bellman,low,,,,ai_pre_assessed_pending_human
ml-q04-v4,2,当前批次的样本数,rl-bellman,misread-ml-q04-v4-2,将“当前批次的样本数”误认为“下一状态的价值估计”，需核实这是否反映稳定的概念误解。,rl-bellman,low,,,,ai_pre_assessed_pending_human
ml-q05-v2,1,训练集文件格式,rl-qlearning,misread-ml-q05-v2-1,将“训练集文件格式”误认为“在状态中选择的具体动作”，需核实这是否反映稳定的概念误解。,rl-qlearning,low,,,,ai_pre_assessed_pending_human
ml-q05-v2,2,神经元激活函数,rl-qlearning,misread-ml-q05-v2-2,将“神经元激活函数”误认为“在状态中选择的具体动作”，需核实这是否反映稳定的概念误解。,rl-qlearning,low,,,,ai_pre_assessed_pending_human
ml-q05-v3,1,历史上最小的奖励,rl-qlearning,misread-ml-q05-v3-1,将“历史上最小的奖励”误认为“新状态下所有动作 Q 值中的最大值”，需核实这是否反映稳定的概念误解。,rl-qlearning,low,,,,ai_pre_assessed_pending_human
ml-q05-v3,2,当前状态的编号,rl-qlearning,misread-ml-q05-v3-2,将“当前状态的编号”误认为“新状态下所有动作 Q 值中的最大值”，需核实这是否反映稳定的概念误解。,rl-qlearning,low,,,,ai_pre_assessed_pending_human
ml-q05-v4,1,状态数量,rl-qlearning,misread-ml-q05-v4-1,将“状态数量”误认为“新观测对旧 Q 值的调整幅度”，需核实这是否反映稳定的概念误解。,rl-qlearning,low,,,,ai_pre_assessed_pending_human
ml-q05-v4,2,折扣因子的正负,rl-qlearning,misread-ml-q05-v4-2,将“折扣因子的正负”误认为“新观测对旧 Q 值的调整幅度”，需核实这是否反映稳定的概念误解。,rl-qlearning,low,,,,ai_pre_assessed_pending_human
ml-q06-v2,1,Q 值为 2.7 的动作,rl-qlearning,misread-ml-q06-v2-1,将“Q 值为 2.7 的动作”误认为“Q 值为 3.2 的动作”，需核实这是否反映稳定的概念误解。,rl-qlearning,low,,,,ai_pre_assessed_pending_human
ml-q06-v2,2,随机丢弃两个动作,rl-qlearning,misread-ml-q06-v2-2,将“随机丢弃两个动作”误认为“Q 值为 3.2 的动作”，需核实这是否反映稳定的概念误解。,rl-qlearning,low,,,,ai_pre_assessed_pending_human
ml-q06-v3,1,当前 Q 表最大元素,rl-qlearning,misread-ml-q06-v3-1,将“当前 Q 表最大元素”误认为“0”，需核实这是否反映稳定的概念误解。,rl-qlearning,low,,,,ai_pre_assessed_pending_human
ml-q06-v3,2,动作总数,rl-qlearning,misread-ml-q06-v3-2,将“动作总数”误认为“0”，需核实这是否反映稳定的概念误解。,rl-qlearning,low,,,,ai_pre_assessed_pending_human
ml-q06-v4,1,监督分类,rl-qlearning,misread-ml-q06-v4-1,将“监督分类”误认为“无模型价值学习”，需核实这是否反映稳定的概念误解。,rl-qlearning,low,,,,ai_pre_assessed_pending_human
ml-q06-v4,2,无监督聚类,rl-qlearning,misread-ml-q06-v4-2,将“无监督聚类”误认为“无模型价值学习”，需核实这是否反映稳定的概念误解。,rl-qlearning,low,,,,ai_pre_assessed_pending_human
dl-q01-v2,1,2,dl-neuron,misread-dl-q01-v2-1,将“2”误认为“1”，需核实这是否反映稳定的概念误解。,dl-neuron,low,,,,ai_pre_assessed_pending_human
dl-q01-v2,2,3,dl-neuron,misread-dl-q01-v2-2,将“3”误认为“1”，需核实这是否反映稳定的概念误解。,dl-neuron,low,,,,ai_pre_assessed_pending_human
dl-q01-v3,0,0,dl-neuron,misread-dl-q01-v3-0,将“0”误认为“2”，需核实这是否反映稳定的概念误解。,dl-neuron,low,,,,ai_pre_assessed_pending_human
dl-q01-v3,2,无法确定,dl-neuron,misread-dl-q01-v3-2,将“无法确定”误认为“2”，需核实这是否反映稳定的概念误解。,dl-neuron,low,,,,ai_pre_assessed_pending_human
dl-q01-v4,1,删除输入特征,dl-neuron,misread-dl-q01-v4-1,将“删除输入特征”误认为“平移线性变换的输出”，需核实这是否反映稳定的概念误解。,dl-neuron,low,,,,ai_pre_assessed_pending_human
dl-q01-v4,2,保证输出一定为 0,dl-neuron,misread-dl-q01-v4-2,将“保证输出一定为 0”误认为“平移线性变换的输出”，需核实这是否反映稳定的概念误解。,dl-neuron,low,,,,ai_pre_assessed_pending_human
dl-q02-v2,1,一定能表示任意非线性函数,dl-activation,misread-dl-q02-v2-1,将“一定能表示任意非线性函数”误认为“整体仍是线性变换”，需核实这是否反映稳定的概念误解。,dl-activation,low,,,,ai_pre_assessed_pending_human
dl-q02-v2,2,不再需要参数,dl-activation,misread-dl-q02-v2-2,将“不再需要参数”误认为“整体仍是线性变换”，需核实这是否反映稳定的概念误解。,dl-activation,low,,,,ai_pre_assessed_pending_human
dl-q02-v3,0,-2、3,dl-activation,misread-dl-q02-v3-0,将“-2、3”误认为“0、3”，需核实这是否反映稳定的概念误解。,dl-activation,low,,,,ai_pre_assessed_pending_human
dl-q02-v3,2,0、0,dl-activation,misread-dl-q02-v3-2,将“0、0”误认为“0、3”，需核实这是否反映稳定的概念误解。,dl-activation,low,,,,ai_pre_assessed_pending_human
dl-q02-v4,1,为了增加训练样本,dl-activation,misread-dl-q02-v4-1,将“为了增加训练样本”误认为“否则多层网络会退化为线性映射”，需核实这是否反映稳定的概念误解。,dl-activation,low,,,,ai_pre_assessed_pending_human
dl-q02-v4,2,为了替代优化器,dl-activation,misread-dl-q02-v4-2,将“为了替代优化器”误认为“否则多层网络会退化为线性映射”，需核实这是否反映稳定的概念误解。,dl-activation,low,,,,ai_pre_assessed_pending_human
dl-q03-v2,1,直接修改梯度,dl-loss,misread-dl-q03-v2-1,将“直接修改梯度”误认为“用当前参数从输入计算预测”，需核实这是否反映稳定的概念误解。,dl-loss,low,,,,ai_pre_assessed_pending_human
dl-q03-v2,2,删除训练样本,dl-loss,misread-dl-q03-v2-2,将“删除训练样本”误认为“用当前参数从输入计算预测”，需核实这是否反映稳定的概念误解。,dl-loss,low,,,,ai_pre_assessed_pending_human
dl-q03-v3,1,`optimizer.step()`,dl-loss,misread-dl-q03-v3-1,"将“`optimizer.step()`”误认为“`loss = loss_fn(y_hat, y)`”，需核实这是否反映稳定的概念误解。",dl-loss,low,,,,ai_pre_assessed_pending_human
dl-q03-v3,2,`del y_hat`,dl-loss,misread-dl-q03-v3-2,"将“`del y_hat`”误认为“`loss = loss_fn(y_hat, y)`”，需核实这是否反映稳定的概念误解。",dl-loss,low,,,,ai_pre_assessed_pending_human
dl-q03-v4,1,随机梯度,dl-loss,misread-dl-q03-v4-1,将“随机梯度”误认为“相同预测”，需核实这是否反映稳定的概念误解。,dl-loss,low,,,,ai_pre_assessed_pending_human
dl-q03-v4,2,更多训练标签,dl-loss,misread-dl-q03-v4-2,将“更多训练标签”误认为“相同预测”，需核实这是否反映稳定的概念误解。,dl-loss,low,,,,ai_pre_assessed_pending_human
dl-q03-v5,1,4,dl-loss,misread-dl-q03-v5-1,将“4”误认为“1”，需核实这是否反映稳定的概念误解。,dl-loss,low,,,,ai_pre_assessed_pending_human
dl-q03-v5,2,9,dl-loss,misread-dl-q03-v5-2,将“9”误认为“1”，需核实这是否反映稳定的概念误解。,dl-loss,low,,,,ai_pre_assessed_pending_human
dl-q04-v2,1,鸽巢原理,dl-backprop,misread-dl-q04-v2-1,将“鸽巢原理”误认为“链式法则”，需核实这是否反映稳定的概念误解。,dl-backprop,low,,,,ai_pre_assessed_pending_human
dl-q04-v2,2,贝叶斯先验,dl-backprop,misread-dl-q04-v2-2,将“贝叶斯先验”误认为“链式法则”，需核实这是否反映稳定的概念误解。,dl-backprop,low,,,,ai_pre_assessed_pending_human
dl-q04-v3,1,-3,dl-backprop,misread-dl-q04-v3-1,将“-3”误认为“-6”，需核实这是否反映稳定的概念误解。,dl-backprop,low,,,,ai_pre_assessed_pending_human
dl-q04-v3,2,6,dl-backprop,misread-dl-q04-v3-2,将“6”误认为“-6”，需核实这是否反映稳定的概念误解。,dl-backprop,low,,,,ai_pre_assessed_pending_human
dl-q04-v4,1,确定类别数量,dl-backprop,misread-dl-q04-v4-1,将“确定类别数量”误认为“决定参数更新方向和步长”，需核实这是否反映稳定的概念误解。,dl-backprop,low,,,,ai_pre_assessed_pending_human
dl-q04-v4,2,替代输入数据,dl-backprop,misread-dl-q04-v4-2,将“替代输入数据”误认为“决定参数更新方向和步长”，需核实这是否反映稳定的概念误解。,dl-backprop,low,,,,ai_pre_assessed_pending_human
