question_id,primary_stage,allowed_stages,repeat_policy,practice_max_exposures,suggested_minutes,cognitive_level,requires_code_environment,selection_note,status
dl-q16,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q17,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q18,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q01-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q01-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,分析,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q01-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q02-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q02-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,分析,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q02-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q03-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q03-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,分析,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q03-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q04-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q04-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,分析,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q04-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q05-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q05-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q05-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q06-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q06-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,应用,伪代码或Notebook（按题目要求）,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q06-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q01-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q01-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,分析,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q01-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q02-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q02-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,分析,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q02-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q03-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q03-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,应用,伪代码或Notebook（按题目要求）,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q03-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q03-v5,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,分析,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q04-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q04-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,分析,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q04-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q05-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q05-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q05-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q06-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q06-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,应用,伪代码或Notebook（按题目要求）,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q06-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q07-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q07-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,3,理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q07-v4,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,分析,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q07-v5,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q08-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,3,理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q08-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q08-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q09-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q09-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,创造,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q09-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q10-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q10-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,应用,伪代码或Notebook（按题目要求）,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q10-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q11-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q11-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,应用,伪代码或Notebook（按题目要求）,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q11-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q12-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q12-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,分析,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q12-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q13-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q13-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,应用,伪代码或Notebook（按题目要求）,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q13-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q14-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q14-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,评价,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q14-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q15-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q15-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,3,分析,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q15-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q16-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q16-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,3,分析,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q16-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q17-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q17-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q17-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q07-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q07-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,分析,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q07-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q08-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q08-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q08-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q09-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q09-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,应用,伪代码或Notebook（按题目要求）,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q09-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q10-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q10-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q10-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q11-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,分析,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q11-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,应用,伪代码或Notebook（按题目要求）,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q11-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q12-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,评价,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q12-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q12-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q13-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,3,理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q13-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,创造,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q13-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q14-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q14-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,应用,伪代码或Notebook（按题目要求）,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q14-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q15-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q15-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q15-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q16-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q16-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,3,分析,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q16-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q17-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q17-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,创造,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q17-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q18-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,分析,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q18-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,应用,伪代码或Notebook（按题目要求）,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q18-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
py-q01,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
py-q01-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,应用,伪代码或Notebook（按题目要求）,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
py-q01-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,分析,伪代码或Notebook（按题目要求）,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
py-q01-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
qt-q01,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
qt-q01-v2,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,应用,伪代码或Notebook（按题目要求）,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
qt-q01-v3,practice,practice|retest,30天内练习最多三次；复测池可回退使用,3,8,分析,伪代码或Notebook（按题目要求）,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
qt-q01-v4,retest,practice|retest,每个复测周期最多一次,3,3,迁移复现,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
