question_id,option_index,option_text,knowledge_point_id,is_correct,misconception_code,misconception_label,remediation_knowledge_point_id,reviewer,reviewed_at,status
dl-q09,2,输入特征的名称数,dl-linear-regression,false,pending-dl-q09-2,待内容负责人填写：该错误选项反映的具体误解,dl-linear-regression,,,waiting_human_confirmation
dl-q10,0,多个互斥类别的概率,dl-softmax,true,,正确选项,dl-softmax,,,not_applicable
dl-q10,1,单个连续房价,dl-softmax,false,pending-dl-q10-1,待内容负责人填写：该错误选项反映的具体误解,dl-softmax,,,waiting_human_confirmation
dl-q10,2,无标签聚类中心,dl-softmax,false,pending-dl-q10-2,待内容负责人填写：该错误选项反映的具体误解,dl-softmax,,,waiting_human_confirmation
dl-q11,0,表示非线性关系,dl-mlp,true,,正确选项,dl-mlp,,,not_applicable
dl-q11,1,取消所有参数,dl-mlp,false,pending-dl-q11-1,待内容负责人填写：该错误选项反映的具体误解,dl-mlp,,,waiting_human_confirmation
dl-q11,2,避免使用数据,dl-mlp,false,pending-dl-q11-2,待内容负责人填写：该错误选项反映的具体误解,dl-mlp,,,waiting_human_confirmation
dl-q12,0,可能发生过拟合,dl-generalization,true,,正确选项,dl-generalization,,,not_applicable
dl-q12,1,模型一定无需调整,dl-generalization,false,pending-dl-q12-1,待内容负责人填写：该错误选项反映的具体误解,dl-generalization,,,waiting_human_confirmation
dl-q12,2,数据必然无标签,dl-generalization,false,pending-dl-q12-2,待内容负责人填写：该错误选项反映的具体误解,dl-generalization,,,waiting_human_confirmation
dl-q13,0,梯度过大或过小,dl-initialization,true,,正确选项,dl-initialization,,,not_applicable
dl-q13,1,自动获得更多标签,dl-initialization,false,pending-dl-q13-1,待内容负责人填写：该错误选项反映的具体误解,dl-initialization,,,waiting_human_confirmation
dl-q13,2,无需训练,dl-initialization,false,pending-dl-q13-2,待内容负责人填写：该错误选项反映的具体误解,dl-initialization,,,waiting_human_confirmation
dl-q14,0,同一卷积核可在不同位置使用,dl-convolution,true,,正确选项,dl-convolution,,,not_applicable
dl-q14,1,每个像素必须一套完全独立参数,dl-convolution,false,pending-dl-q14-1,待内容负责人填写：该错误选项反映的具体误解,dl-convolution,,,waiting_human_confirmation
dl-q14,2,不再需要输入,dl-convolution,false,pending-dl-q14-2,待内容负责人填写：该错误选项反映的具体误解,dl-convolution,,,waiting_human_confirmation
dl-q15,0,减小输出的空间尺寸,dl-padding-stride,true,,正确选项,dl-padding-stride,,,not_applicable
dl-q15,1,增加输入标签数,dl-padding-stride,false,pending-dl-q15-1,待内容负责人填写：该错误选项反映的具体误解,dl-padding-stride,,,waiting_human_confirmation
dl-q15,2,取消卷积核,dl-padding-stride,false,pending-dl-q15-2,待内容负责人填写：该错误选项反映的具体误解,dl-padding-stride,,,waiting_human_confirmation
dl-q16,0,下采样并汇聚局部特征,dl-pooling,true,,正确选项,dl-pooling,,,not_applicable
dl-q16,1,计算全部参数梯度,dl-pooling,false,pending-dl-q16-1,待内容负责人填写：该错误选项反映的具体误解,dl-pooling,,,waiting_human_confirmation
dl-q16,2,产生类别标签,dl-pooling,false,pending-dl-q16-2,待内容负责人填写：该错误选项反映的具体误解,dl-pooling,,,waiting_human_confirmation
dl-q17,0,样本之间存在顺序或时间依赖,dl-sequence,true,,正确选项,dl-sequence,,,not_applicable
dl-q17,1,每个样本完全没有顺序,dl-sequence,false,pending-dl-q17-1,待内容负责人填写：该错误选项反映的具体误解,dl-sequence,,,waiting_human_confirmation
dl-q17,2,只能是图像,dl-sequence,false,pending-dl-q17-2,待内容负责人填写：该错误选项反映的具体误解,dl-sequence,,,waiting_human_confirmation
dl-q18,0,保留先前时间步的信息,dl-rnn,true,,正确选项,dl-rnn,,,not_applicable
dl-q18,1,删除所有历史信息,dl-rnn,false,pending-dl-q18-1,待内容负责人填写：该错误选项反映的具体误解,dl-rnn,,,waiting_human_confirmation
dl-q18,2,固定输出类别数量,dl-rnn,false,pending-dl-q18-2,待内容负责人填写：该错误选项反映的具体误解,dl-rnn,,,waiting_human_confirmation
ml-q01-v2,0,γ 接近 0，例如 0.05,rl-discount,false,pending-ml-q01-v2-0,待内容负责人填写：该错误选项反映的具体误解,rl-discount,,,waiting_human_confirmation
ml-q01-v2,1,γ 接近 1，例如 0.95,rl-discount,true,,正确选项,rl-discount,,,not_applicable
ml-q01-v2,2,把 γ 设为负数,rl-discount,false,pending-ml-q01-v2-2,待内容负责人填写：该错误选项反映的具体误解,rl-discount,,,waiting_human_confirmation
ml-q01-v3,0,2,rl-discount,false,pending-ml-q01-v3-0,待内容负责人填写：该错误选项反映的具体误解,rl-discount,,,waiting_human_confirmation
ml-q01-v3,1,3,rl-discount,true,,正确选项,rl-discount,,,not_applicable
ml-q01-v3,2,5,rl-discount,false,pending-ml-q01-v3-2,待内容负责人填写：该错误选项反映的具体误解,rl-discount,,,waiting_human_confirmation
ml-q01-v4,0,很久以后的奖励,rl-discount,false,pending-ml-q01-v4-0,待内容负责人填写：该错误选项反映的具体误解,rl-discount,,,waiting_human_confirmation
ml-q01-v4,1,即时奖励,rl-discount,true,,正确选项,rl-discount,,,not_applicable
ml-q01-v4,2,两者权重完全不变,rl-discount,false,pending-ml-q01-v4-2,待内容负责人填写：该错误选项反映的具体误解,rl-discount,,,waiting_human_confirmation
ml-q02-v2,0,回报只等于当前一步奖励,math-prob,false,pending-ml-q02-v2-0,待内容负责人填写：该错误选项反映的具体误解,math-prob,,,waiting_human_confirmation
ml-q02-v2,1,回报可以累计当前及未来奖励,math-prob,true,,正确选项,math-prob,,,not_applicable
ml-q02-v2,2,回报只由动作数量决定,math-prob,false,pending-ml-q02-v2-2,待内容负责人填写：该错误选项反映的具体误解,math-prob,,,waiting_human_confirmation
ml-q02-v3,0,4.25,math-prob,true,,正确选项,math-prob,,,not_applicable
ml-q02-v3,1,5,math-prob,false,pending-ml-q02-v3-1,待内容负责人填写：该错误选项反映的具体误解,math-prob,,,waiting_human_confirmation
ml-q02-v3,2,6,math-prob,false,pending-ml-q02-v3-2,待内容负责人填写：该错误选项反映的具体误解,math-prob,,,waiting_human_confirmation
ml-q02-v4,0,该步即时奖励,math-prob,true,,正确选项,math-prob,,,not_applicable
ml-q02-v4,1,下一轮训练的学习率,math-prob,false,pending-ml-q02-v4-1,待内容负责人填写：该错误选项反映的具体误解,math-prob,,,waiting_human_confirmation
ml-q02-v4,2,网络隐藏层数,math-prob,false,pending-ml-q02-v4-2,待内容负责人填写：该错误选项反映的具体误解,math-prob,,,waiting_human_confirmation
ml-q03-v2,0,机器人当前位置,rl-mdp,true,,正确选项,rl-mdp,,,not_applicable
ml-q03-v2,1,训练轮数,rl-mdp,false,pending-ml-q03-v2-1,待内容负责人填写：该错误选项反映的具体误解,rl-mdp,,,waiting_human_confirmation
ml-q03-v2,2,神经网络层数,rl-mdp,false,pending-ml-q03-v2-2,待内容负责人填写：该错误选项反映的具体误解,rl-mdp,,,waiting_human_confirmation
ml-q03-v3,0,选择上行、下行或停留,rl-mdp,true,,正确选项,rl-mdp,,,not_applicable
ml-q03-v3,1,乘客等待时间的负值,rl-mdp,false,pending-ml-q03-v3-1,待内容负责人填写：该错误选项反映的具体误解,rl-mdp,,,waiting_human_confirmation
ml-q03-v3,2,下一层的乘客数量,rl-mdp,false,pending-ml-q03-v3-2,待内容负责人填写：该错误选项反映的具体误解,rl-mdp,,,waiting_human_confirmation
ml-q03-v4,0,采取动作后到达下一状态的可能性,rl-mdp,true,,正确选项,rl-mdp,,,not_applicable
ml-q03-v4,1,模型参数总数,rl-mdp,false,pending-ml-q03-v4-1,待内容负责人填写：该错误选项反映的具体误解,rl-mdp,,,waiting_human_confirmation
ml-q03-v4,2,每轮必定获得的固定奖励,rl-mdp,false,pending-ml-q03-v4-2,待内容负责人填写：该错误选项反映的具体误解,rl-mdp,,,waiting_human_confirmation
ml-q04-v2,0,问题可分解为重叠子问题和递推关系,rl-bellman,true,,正确选项,rl-bellman,,,not_applicable
ml-q04-v2,1,必须使用深度神经网络,rl-bellman,false,pending-ml-q04-v2-1,待内容负责人填写：该错误选项反映的具体误解,rl-bellman,,,waiting_human_confirmation
ml-q04-v2,2,所有奖励都相同,rl-bellman,false,pending-ml-q04-v2-2,待内容负责人填写：该错误选项反映的具体误解,rl-bellman,,,waiting_human_confirmation
ml-q04-v3,0,4,rl-bellman,false,pending-ml-q04-v3-0,待内容负责人填写：该错误选项反映的具体误解,rl-bellman,,,waiting_human_confirmation
ml-q04-v3,1,5,rl-bellman,true,,正确选项,rl-bellman,,,not_applicable
ml-q04-v3,2,8,rl-bellman,false,pending-ml-q04-v3-2,待内容负责人填写：该错误选项反映的具体误解,rl-bellman,,,waiting_human_confirmation
ml-q04-v4,0,下一状态的价值估计,rl-bellman,true,,正确选项,rl-bellman,,,not_applicable
ml-q04-v4,1,数据文件的大小,rl-bellman,false,pending-ml-q04-v4-1,待内容负责人填写：该错误选项反映的具体误解,rl-bellman,,,waiting_human_confirmation
ml-q04-v4,2,当前批次的样本数,rl-bellman,false,pending-ml-q04-v4-2,待内容负责人填写：该错误选项反映的具体误解,rl-bellman,,,waiting_human_confirmation
ml-q05-v2,0,在状态中选择的具体动作,rl-qlearning,true,,正确选项,rl-qlearning,,,not_applicable
ml-q05-v2,1,训练集文件格式,rl-qlearning,false,pending-ml-q05-v2-1,待内容负责人填写：该错误选项反映的具体误解,rl-qlearning,,,waiting_human_confirmation
ml-q05-v2,2,神经元激活函数,rl-qlearning,false,pending-ml-q05-v2-2,待内容负责人填写：该错误选项反映的具体误解,rl-qlearning,,,waiting_human_confirmation
ml-q05-v3,0,新状态下所有动作 Q 值中的最大值,rl-qlearning,true,,正确选项,rl-qlearning,,,not_applicable
ml-q05-v3,1,历史上最小的奖励,rl-qlearning,false,pending-ml-q05-v3-1,待内容负责人填写：该错误选项反映的具体误解,rl-qlearning,,,waiting_human_confirmation
ml-q05-v3,2,当前状态的编号,rl-qlearning,false,pending-ml-q05-v3-2,待内容负责人填写：该错误选项反映的具体误解,rl-qlearning,,,waiting_human_confirmation
ml-q05-v4,0,新观测对旧 Q 值的调整幅度,rl-qlearning,true,,正确选项,rl-qlearning,,,not_applicable
ml-q05-v4,1,状态数量,rl-qlearning,false,pending-ml-q05-v4-1,待内容负责人填写：该错误选项反映的具体误解,rl-qlearning,,,waiting_human_confirmation
ml-q05-v4,2,折扣因子的正负,rl-qlearning,false,pending-ml-q05-v4-2,待内容负责人填写：该错误选项反映的具体误解,rl-qlearning,,,waiting_human_confirmation
ml-q06-v2,0,Q 值为 3.2 的动作,rl-qlearning,true,,正确选项,rl-qlearning,,,not_applicable
ml-q06-v2,1,Q 值为 2.7 的动作,rl-qlearning,false,pending-ml-q06-v2-1,待内容负责人填写：该错误选项反映的具体误解,rl-qlearning,,,waiting_human_confirmation
ml-q06-v2,2,随机丢弃两个动作,rl-qlearning,false,pending-ml-q06-v2-2,待内容负责人填写：该错误选项反映的具体误解,rl-qlearning,,,waiting_human_confirmation
ml-q06-v3,0,0,rl-qlearning,true,,正确选项,rl-qlearning,,,not_applicable
ml-q06-v3,1,当前 Q 表最大元素,rl-qlearning,false,pending-ml-q06-v3-1,待内容负责人填写：该错误选项反映的具体误解,rl-qlearning,,,waiting_human_confirmation
ml-q06-v3,2,动作总数,rl-qlearning,false,pending-ml-q06-v3-2,待内容负责人填写：该错误选项反映的具体误解,rl-qlearning,,,waiting_human_confirmation
ml-q06-v4,0,无模型价值学习,rl-qlearning,true,,正确选项,rl-qlearning,,,not_applicable
ml-q06-v4,1,监督分类,rl-qlearning,false,pending-ml-q06-v4-1,待内容负责人填写：该错误选项反映的具体误解,rl-qlearning,,,waiting_human_confirmation
ml-q06-v4,2,无监督聚类,rl-qlearning,false,pending-ml-q06-v4-2,待内容负责人填写：该错误选项反映的具体误解,rl-qlearning,,,waiting_human_confirmation
dl-q01-v2,0,1,dl-neuron,true,,正确选项,dl-neuron,,,not_applicable
dl-q01-v2,1,2,dl-neuron,false,pending-dl-q01-v2-1,待内容负责人填写：该错误选项反映的具体误解,dl-neuron,,,waiting_human_confirmation
dl-q01-v2,2,3,dl-neuron,false,pending-dl-q01-v2-2,待内容负责人填写：该错误选项反映的具体误解,dl-neuron,,,waiting_human_confirmation
dl-q01-v3,0,0,dl-neuron,false,pending-dl-q01-v3-0,待内容负责人填写：该错误选项反映的具体误解,dl-neuron,,,waiting_human_confirmation
dl-q01-v3,1,2,dl-neuron,true,,正确选项,dl-neuron,,,not_applicable
dl-q01-v3,2,无法确定,dl-neuron,false,pending-dl-q01-v3-2,待内容负责人填写：该错误选项反映的具体误解,dl-neuron,,,waiting_human_confirmation
dl-q01-v4,0,平移线性变换的输出,dl-neuron,true,,正确选项,dl-neuron,,,not_applicable
dl-q01-v4,1,删除输入特征,dl-neuron,false,pending-dl-q01-v4-1,待内容负责人填写：该错误选项反映的具体误解,dl-neuron,,,waiting_human_confirmation
dl-q01-v4,2,保证输出一定为 0,dl-neuron,false,pending-dl-q01-v4-2,待内容负责人填写：该错误选项反映的具体误解,dl-neuron,,,waiting_human_confirmation
dl-q02-v2,0,整体仍是线性变换,dl-activation,true,,正确选项,dl-activation,,,not_applicable
dl-q02-v2,1,一定能表示任意非线性函数,dl-activation,false,pending-dl-q02-v2-1,待内容负责人填写：该错误选项反映的具体误解,dl-activation,,,waiting_human_confirmation
dl-q02-v2,2,不再需要参数,dl-activation,false,pending-dl-q02-v2-2,待内容负责人填写：该错误选项反映的具体误解,dl-activation,,,waiting_human_confirmation
dl-q02-v3,0,-2、3,dl-activation,false,pending-dl-q02-v3-0,待内容负责人填写：该错误选项反映的具体误解,dl-activation,,,waiting_human_confirmation
dl-q02-v3,1,0、3,dl-activation,true,,正确选项,dl-activation,,,not_applicable
dl-q02-v3,2,0、0,dl-activation,false,pending-dl-q02-v3-2,待内容负责人填写：该错误选项反映的具体误解,dl-activation,,,waiting_human_confirmation
dl-q02-v4,0,否则多层网络会退化为线性映射,dl-activation,true,,正确选项,dl-activation,,,not_applicable
dl-q02-v4,1,为了增加训练样本,dl-activation,false,pending-dl-q02-v4-1,待内容负责人填写：该错误选项反映的具体误解,dl-activation,,,waiting_human_confirmation
dl-q02-v4,2,为了替代优化器,dl-activation,false,pending-dl-q02-v4-2,待内容负责人填写：该错误选项反映的具体误解,dl-activation,,,waiting_human_confirmation
dl-q03-v2,0,用当前参数从输入计算预测,dl-loss,true,,正确选项,dl-loss,,,not_applicable
dl-q03-v2,1,直接修改梯度,dl-loss,false,pending-dl-q03-v2-1,待内容负责人填写：该错误选项反映的具体误解,dl-loss,,,waiting_human_confirmation
dl-q03-v2,2,删除训练样本,dl-loss,false,pending-dl-q03-v2-2,待内容负责人填写：该错误选项反映的具体误解,dl-loss,,,waiting_human_confirmation
dl-q03-v3,0,"`loss = loss_fn(y_hat, y)`",dl-loss,true,,正确选项,dl-loss,,,not_applicable
dl-q03-v3,1,`optimizer.step()`,dl-loss,false,pending-dl-q03-v3-1,待内容负责人填写：该错误选项反映的具体误解,dl-loss,,,waiting_human_confirmation
dl-q03-v3,2,`del y_hat`,dl-loss,false,pending-dl-q03-v3-2,待内容负责人填写：该错误选项反映的具体误解,dl-loss,,,waiting_human_confirmation
dl-q03-v4,0,相同预测,dl-loss,true,,正确选项,dl-loss,,,not_applicable
dl-q03-v4,1,随机梯度,dl-loss,false,pending-dl-q03-v4-1,待内容负责人填写：该错误选项反映的具体误解,dl-loss,,,waiting_human_confirmation
dl-q03-v4,2,更多训练标签,dl-loss,false,pending-dl-q03-v4-2,待内容负责人填写：该错误选项反映的具体误解,dl-loss,,,waiting_human_confirmation
dl-q03-v5,0,1,dl-loss,true,,正确选项,dl-loss,,,not_applicable
dl-q03-v5,1,4,dl-loss,false,pending-dl-q03-v5-1,待内容负责人填写：该错误选项反映的具体误解,dl-loss,,,waiting_human_confirmation
dl-q03-v5,2,9,dl-loss,false,pending-dl-q03-v5-2,待内容负责人填写：该错误选项反映的具体误解,dl-loss,,,waiting_human_confirmation
dl-q04-v2,0,链式法则,dl-backprop,true,,正确选项,dl-backprop,,,not_applicable
dl-q04-v2,1,鸽巢原理,dl-backprop,false,pending-dl-q04-v2-1,待内容负责人填写：该错误选项反映的具体误解,dl-backprop,,,waiting_human_confirmation
dl-q04-v2,2,贝叶斯先验,dl-backprop,false,pending-dl-q04-v2-2,待内容负责人填写：该错误选项反映的具体误解,dl-backprop,,,waiting_human_confirmation
dl-q04-v3,0,-6,dl-backprop,true,,正确选项,dl-backprop,,,not_applicable
dl-q04-v3,1,-3,dl-backprop,false,pending-dl-q04-v3-1,待内容负责人填写：该错误选项反映的具体误解,dl-backprop,,,waiting_human_confirmation
dl-q04-v3,2,6,dl-backprop,false,pending-dl-q04-v3-2,待内容负责人填写：该错误选项反映的具体误解,dl-backprop,,,waiting_human_confirmation
dl-q04-v4,0,决定参数更新方向和步长,dl-backprop,true,,正确选项,dl-backprop,,,not_applicable
dl-q04-v4,1,确定类别数量,dl-backprop,false,pending-dl-q04-v4-1,待内容负责人填写：该错误选项反映的具体误解,dl-backprop,,,waiting_human_confirmation
dl-q04-v4,2,替代输入数据,dl-backprop,false,pending-dl-q04-v4-2,待内容负责人填写：该错误选项反映的具体误解,dl-backprop,,,waiting_human_confirmation
dl-q05-v2,0,清除上一批次累积的梯度,dl-training,true,,正确选项,dl-training,,,not_applicable
