mastery_task_id,ai_reference_answer_outline,ai_scoring_focus,ai_common_error_suggestion,ai_hint_policy_check,ai_recommendation,ai_confidence,human_decision,human_reviewer,human_reviewed_at,status
mt-ml-gradient,应至少覆盖既有任务量表中的要求：以任务题干与原始 rubric 为准，补写可复核的参考答案或参考实现。,建议审核重点：关键逻辑正确；步骤或代码完整；解释或边界处理。各维度分值总和必须等于任务满分。,建议至少检查：只写结论不说明依据、遗漏题干约束、公式/代码缺关键步骤、没有处理边界情况或把相近概念混淆。,正式掌握任务建议默认无提示；如有提示必须记录 used_hint，且不能作为无提示复测证据。,建议补写参考答案、可接受答案范围、不可接受答案和每维扣分边界后，再由人工设为 active。,low,,,,ai_pre_assessed_pending_human
mt-ml-classification,应至少覆盖既有任务量表中的要求：以任务题干与原始 rubric 为准，补写可复核的参考答案或参考实现。,建议审核重点：核心结论正确；推理或计算过程；解释、应用或边界说明。各维度分值总和必须等于任务满分。,建议至少检查：只写结论不说明依据、遗漏题干约束、公式/代码缺关键步骤、没有处理边界情况或把相近概念混淆。,正式掌握任务建议默认无提示；如有提示必须记录 used_hint，且不能作为无提示复测证据。,建议补写参考答案、可接受答案范围、不可接受答案和每维扣分边界后，再由人工设为 active。,low,,,,ai_pre_assessed_pending_human
mt-ml-clustering,应至少覆盖既有任务量表中的要求：以任务题干与原始 rubric 为准，补写可复核的参考答案或参考实现。,建议审核重点：问题与目标定义；方法选择与理由；方案逻辑；局限或验证方式。各维度分值总和必须等于任务满分。,建议至少检查：只写结论不说明依据、遗漏题干约束、公式/代码缺关键步骤、没有处理边界情况或把相近概念混淆。,正式掌握任务建议默认无提示；如有提示必须记录 used_hint，且不能作为无提示复测证据。,建议补写参考答案、可接受答案范围、不可接受答案和每维扣分边界后，再由人工设为 active。,low,,,,ai_pre_assessed_pending_human
mt-ml-ensemble,应至少覆盖既有任务量表中的要求：以任务题干与原始 rubric 为准，补写可复核的参考答案或参考实现。,建议审核重点：核心结论正确；推理或计算过程；解释、应用或边界说明。各维度分值总和必须等于任务满分。,建议至少检查：只写结论不说明依据、遗漏题干约束、公式/代码缺关键步骤、没有处理边界情况或把相近概念混淆。,正式掌握任务建议默认无提示；如有提示必须记录 used_hint，且不能作为无提示复测证据。,建议补写参考答案、可接受答案范围、不可接受答案和每维扣分边界后，再由人工设为 active。,low,,,,ai_pre_assessed_pending_human
mt-ml-model-selection,应至少覆盖既有任务量表中的要求：以任务题干与原始 rubric 为准，补写可复核的参考答案或参考实现。,建议审核重点：核心结论正确；推理或计算过程；解释、应用或边界说明。各维度分值总和必须等于任务满分。,建议至少检查：只写结论不说明依据、遗漏题干约束、公式/代码缺关键步骤、没有处理边界情况或把相近概念混淆。,正式掌握任务建议默认无提示；如有提示必须记录 used_hint，且不能作为无提示复测证据。,建议补写参考答案、可接受答案范围、不可接受答案和每维扣分边界后，再由人工设为 active。,low,,,,ai_pre_assessed_pending_human
mt-dl-linear-algebra,应至少覆盖既有任务量表中的要求：以任务题干与原始 rubric 为准，补写可复核的参考答案或参考实现。,建议审核重点：核心结论正确；推理或计算过程；解释、应用或边界说明。各维度分值总和必须等于任务满分。,建议至少检查：只写结论不说明依据、遗漏题干约束、公式/代码缺关键步骤、没有处理边界情况或把相近概念混淆。,正式掌握任务建议默认无提示；如有提示必须记录 used_hint，且不能作为无提示复测证据。,建议补写参考答案、可接受答案范围、不可接受答案和每维扣分边界后，再由人工设为 active。,low,,,,ai_pre_assessed_pending_human
mt-dl-probability,应至少覆盖既有任务量表中的要求：以任务题干与原始 rubric 为准，补写可复核的参考答案或参考实现。,建议审核重点：核心结论正确；推理或计算过程；解释、应用或边界说明。各维度分值总和必须等于任务满分。,建议至少检查：只写结论不说明依据、遗漏题干约束、公式/代码缺关键步骤、没有处理边界情况或把相近概念混淆。,正式掌握任务建议默认无提示；如有提示必须记录 used_hint，且不能作为无提示复测证据。,建议补写参考答案、可接受答案范围、不可接受答案和每维扣分边界后，再由人工设为 active。,low,,,,ai_pre_assessed_pending_human
mt-dl-linear-regression,应至少覆盖既有任务量表中的要求：以任务题干与原始 rubric 为准，补写可复核的参考答案或参考实现。,建议审核重点：关键逻辑正确；步骤或代码完整；解释或边界处理。各维度分值总和必须等于任务满分。,建议至少检查：只写结论不说明依据、遗漏题干约束、公式/代码缺关键步骤、没有处理边界情况或把相近概念混淆。,正式掌握任务建议默认无提示；如有提示必须记录 used_hint，且不能作为无提示复测证据。,建议补写参考答案、可接受答案范围、不可接受答案和每维扣分边界后，再由人工设为 active。,low,,,,ai_pre_assessed_pending_human
mt-dl-softmax,应至少覆盖既有任务量表中的要求：以任务题干与原始 rubric 为准，补写可复核的参考答案或参考实现。,建议审核重点：关键逻辑正确；步骤或代码完整；解释或边界处理。各维度分值总和必须等于任务满分。,建议至少检查：只写结论不说明依据、遗漏题干约束、公式/代码缺关键步骤、没有处理边界情况或把相近概念混淆。,正式掌握任务建议默认无提示；如有提示必须记录 used_hint，且不能作为无提示复测证据。,建议补写参考答案、可接受答案范围、不可接受答案和每维扣分边界后，再由人工设为 active。,low,,,,ai_pre_assessed_pending_human
mt-dl-mlp,应至少覆盖既有任务量表中的要求：以任务题干与原始 rubric 为准，补写可复核的参考答案或参考实现。,建议审核重点：关键逻辑正确；步骤或代码完整；解释或边界处理。各维度分值总和必须等于任务满分。,建议至少检查：只写结论不说明依据、遗漏题干约束、公式/代码缺关键步骤、没有处理边界情况或把相近概念混淆。,正式掌握任务建议默认无提示；如有提示必须记录 used_hint，且不能作为无提示复测证据。,建议补写参考答案、可接受答案范围、不可接受答案和每维扣分边界后，再由人工设为 active。,low,,,,ai_pre_assessed_pending_human
mt-dl-generalization,应至少覆盖既有任务量表中的要求：以任务题干与原始 rubric 为准，补写可复核的参考答案或参考实现。,建议审核重点：核心结论正确；推理或计算过程；解释、应用或边界说明。各维度分值总和必须等于任务满分。,建议至少检查：只写结论不说明依据、遗漏题干约束、公式/代码缺关键步骤、没有处理边界情况或把相近概念混淆。,正式掌握任务建议默认无提示；如有提示必须记录 used_hint，且不能作为无提示复测证据。,建议补写参考答案、可接受答案范围、不可接受答案和每维扣分边界后，再由人工设为 active。,low,,,,ai_pre_assessed_pending_human
mt-dl-initialization,应至少覆盖既有任务量表中的要求：以任务题干与原始 rubric 为准，补写可复核的参考答案或参考实现。,建议审核重点：问题与目标定义；方法选择与理由；方案逻辑；局限或验证方式。各维度分值总和必须等于任务满分。,建议至少检查：只写结论不说明依据、遗漏题干约束、公式/代码缺关键步骤、没有处理边界情况或把相近概念混淆。,正式掌握任务建议默认无提示；如有提示必须记录 used_hint，且不能作为无提示复测证据。,建议补写参考答案、可接受答案范围、不可接受答案和每维扣分边界后，再由人工设为 active。,low,,,,ai_pre_assessed_pending_human
mt-dl-convolution,应至少覆盖既有任务量表中的要求：以任务题干与原始 rubric 为准，补写可复核的参考答案或参考实现。,建议审核重点：关键逻辑正确；步骤或代码完整；解释或边界处理。各维度分值总和必须等于任务满分。,建议至少检查：只写结论不说明依据、遗漏题干约束、公式/代码缺关键步骤、没有处理边界情况或把相近概念混淆。,正式掌握任务建议默认无提示；如有提示必须记录 used_hint，且不能作为无提示复测证据。,建议补写参考答案、可接受答案范围、不可接受答案和每维扣分边界后，再由人工设为 active。,low,,,,ai_pre_assessed_pending_human
mt-dl-padding,应至少覆盖既有任务量表中的要求：以任务题干与原始 rubric 为准，补写可复核的参考答案或参考实现。,建议审核重点：关键逻辑正确；步骤或代码完整；解释或边界处理。各维度分值总和必须等于任务满分。,建议至少检查：只写结论不说明依据、遗漏题干约束、公式/代码缺关键步骤、没有处理边界情况或把相近概念混淆。,正式掌握任务建议默认无提示；如有提示必须记录 used_hint，且不能作为无提示复测证据。,建议补写参考答案、可接受答案范围、不可接受答案和每维扣分边界后，再由人工设为 active。,low,,,,ai_pre_assessed_pending_human
mt-dl-pooling,应至少覆盖既有任务量表中的要求：以任务题干与原始 rubric 为准，补写可复核的参考答案或参考实现。,建议审核重点：核心结论正确；推理或计算过程；解释、应用或边界说明。各维度分值总和必须等于任务满分。,建议至少检查：只写结论不说明依据、遗漏题干约束、公式/代码缺关键步骤、没有处理边界情况或把相近概念混淆。,正式掌握任务建议默认无提示；如有提示必须记录 used_hint，且不能作为无提示复测证据。,建议补写参考答案、可接受答案范围、不可接受答案和每维扣分边界后，再由人工设为 active。,low,,,,ai_pre_assessed_pending_human
mt-dl-sequence,应至少覆盖既有任务量表中的要求：以任务题干与原始 rubric 为准，补写可复核的参考答案或参考实现。,建议审核重点：问题与目标定义；方法选择与理由；方案逻辑；局限或验证方式。各维度分值总和必须等于任务满分。,建议至少检查：只写结论不说明依据、遗漏题干约束、公式/代码缺关键步骤、没有处理边界情况或把相近概念混淆。,正式掌握任务建议默认无提示；如有提示必须记录 used_hint，且不能作为无提示复测证据。,建议补写参考答案、可接受答案范围、不可接受答案和每维扣分边界后，再由人工设为 active。,low,,,,ai_pre_assessed_pending_human
mt-dl-rnn,应至少覆盖既有任务量表中的要求：以任务题干与原始 rubric 为准，补写可复核的参考答案或参考实现。,建议审核重点：关键逻辑正确；步骤或代码完整；解释或边界处理。各维度分值总和必须等于任务满分。,建议至少检查：只写结论不说明依据、遗漏题干约束、公式/代码缺关键步骤、没有处理边界情况或把相近概念混淆。,正式掌握任务建议默认无提示；如有提示必须记录 used_hint，且不能作为无提示复测证据。,建议补写参考答案、可接受答案范围、不可接受答案和每维扣分边界后，再由人工设为 active。,low,,,,ai_pre_assessed_pending_human
mt-dl-neuron,应至少覆盖既有任务量表中的要求：以任务题干与原始 rubric 为准，补写可复核的参考答案或参考实现。,建议审核重点：核心结论正确；推理或计算过程；解释、应用或边界说明。各维度分值总和必须等于任务满分。,建议至少检查：只写结论不说明依据、遗漏题干约束、公式/代码缺关键步骤、没有处理边界情况或把相近概念混淆。,正式掌握任务建议默认无提示；如有提示必须记录 used_hint，且不能作为无提示复测证据。,建议补写参考答案、可接受答案范围、不可接受答案和每维扣分边界后，再由人工设为 active。,low,,,,ai_pre_assessed_pending_human
mt-dl-activation,应至少覆盖既有任务量表中的要求：以任务题干与原始 rubric 为准，补写可复核的参考答案或参考实现。,建议审核重点：核心结论正确；推理或计算过程；解释、应用或边界说明。各维度分值总和必须等于任务满分。,建议至少检查：只写结论不说明依据、遗漏题干约束、公式/代码缺关键步骤、没有处理边界情况或把相近概念混淆。,正式掌握任务建议默认无提示；如有提示必须记录 used_hint，且不能作为无提示复测证据。,建议补写参考答案、可接受答案范围、不可接受答案和每维扣分边界后，再由人工设为 active。,low,,,,ai_pre_assessed_pending_human
mt-dl-forward,应至少覆盖既有任务量表中的要求：以任务题干与原始 rubric 为准，补写可复核的参考答案或参考实现。,建议审核重点：关键逻辑正确；步骤或代码完整；解释或边界处理。各维度分值总和必须等于任务满分。,建议至少检查：只写结论不说明依据、遗漏题干约束、公式/代码缺关键步骤、没有处理边界情况或把相近概念混淆。,正式掌握任务建议默认无提示；如有提示必须记录 used_hint，且不能作为无提示复测证据。,建议补写参考答案、可接受答案范围、不可接受答案和每维扣分边界后，再由人工设为 active。,low,,,,ai_pre_assessed_pending_human
mt-dl-loss,应至少覆盖既有任务量表中的要求：以任务题干与原始 rubric 为准，补写可复核的参考答案或参考实现。,建议审核重点：核心结论正确；推理或计算过程；解释、应用或边界说明。各维度分值总和必须等于任务满分。,建议至少检查：只写结论不说明依据、遗漏题干约束、公式/代码缺关键步骤、没有处理边界情况或把相近概念混淆。,正式掌握任务建议默认无提示；如有提示必须记录 used_hint，且不能作为无提示复测证据。,建议补写参考答案、可接受答案范围、不可接受答案和每维扣分边界后，再由人工设为 active。,low,,,,ai_pre_assessed_pending_human
mt-dl-backprop,应至少覆盖既有任务量表中的要求：以任务题干与原始 rubric 为准，补写可复核的参考答案或参考实现。,建议审核重点：关键逻辑正确；步骤或代码完整；解释或边界处理。各维度分值总和必须等于任务满分。,建议至少检查：只写结论不说明依据、遗漏题干约束、公式/代码缺关键步骤、没有处理边界情况或把相近概念混淆。,正式掌握任务建议默认无提示；如有提示必须记录 used_hint，且不能作为无提示复测证据。,建议补写参考答案、可接受答案范围、不可接受答案和每维扣分边界后，再由人工设为 active。,low,,,,ai_pre_assessed_pending_human
mt-dl-training,应至少覆盖既有任务量表中的要求：以任务题干与原始 rubric 为准，补写可复核的参考答案或参考实现。,建议审核重点：关键逻辑正确；步骤或代码完整；解释或边界处理。各维度分值总和必须等于任务满分。,建议至少检查：只写结论不说明依据、遗漏题干约束、公式/代码缺关键步骤、没有处理边界情况或把相近概念混淆。,正式掌握任务建议默认无提示；如有提示必须记录 used_hint，且不能作为无提示复测证据。,建议补写参考答案、可接受答案范围、不可接受答案和每维扣分边界后，再由人工设为 active。,low,,,,ai_pre_assessed_pending_human
mt-prog-python,应至少覆盖既有任务量表中的要求：以任务题干与原始 rubric 为准，补写可复核的参考答案或参考实现。,建议审核重点：关键逻辑正确；步骤或代码完整；解释或边界处理。各维度分值总和必须等于任务满分。,建议至少检查：只写结论不说明依据、遗漏题干约束、公式/代码缺关键步骤、没有处理边界情况或把相近概念混淆。,正式掌握任务建议默认无提示；如有提示必须记录 used_hint，且不能作为无提示复测证据。,建议补写参考答案、可接受答案范围、不可接受答案和每维扣分边界后，再由人工设为 active。,low,,,,ai_pre_assessed_pending_human
mt-prog-qtable,应至少覆盖既有任务量表中的要求：以任务题干与原始 rubric 为准，补写可复核的参考答案或参考实现。,建议审核重点：关键逻辑正确；步骤或代码完整；解释或边界处理。各维度分值总和必须等于任务满分。,建议至少检查：只写结论不说明依据、遗漏题干约束、公式/代码缺关键步骤、没有处理边界情况或把相近概念混淆。,正式掌握任务建议默认无提示；如有提示必须记录 used_hint，且不能作为无提示复测证据。,建议补写参考答案、可接受答案范围、不可接受答案和每维扣分边界后，再由人工设为 active。,low,,,,ai_pre_assessed_pending_human
